ProductId,Name,Platform,Year,Genre,Publisher,SalesNA,SalesEU,SalesAsia,SalesOther,SalesGlobal,Price
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,#Konami Digital Entertainment,2450,2010,870,720,6050,542
144,Sonic the Hedgehog 2,GEN,1992,Platform,#Sega,4470,1200,160,190,6020,1272
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,#Konami Digital Entertainment,2630,1740,830,830,6030,669
146,Metal Gear Solid,PS,1998,Action,#Konami Digital Entertainment,3180,1830,780,240,6030,1077
147,The Last of Us,PS3,2013,Action,#Sony Computer Entertainment Europe,2410,2280,280,1010,5980,1017
148,Final Fantasy XII,PS2,2006,Role-Playing,#Square Enix,1880,0,2330,1740,5950,1290
149,LittleBigPlanet,PS3,2008,Platform,#Sony Computer Entertainment,2800,2050,170,900,5920,1008
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,#Nintendo,660,690,4350,150,5850,695
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,#LucasArts,3660,1630,0,530,5820,937
152,Resident Evil 2,PS,1998,Action,#Virgin Interactive,1880,1470,2020,450,5820,1115
153,Tekken 2,PS,1996,Fighting,#Sony Computer Entertainment,2260,1890,1360,230,5740,1155
154,Cooking Mama,DS,2006,Simulation,#505 Games,3130,1940,70,580,5720,1130
155,Destiny,PS4,2014,Shooter,#Activision,2490,2050,160,960,5660,779
156,Tetris,NES,1988,Puzzle,#Nintendo,2970,690,1810,110,5580,909
157,Assassin's Creed II,PS3,2009,Action,#Ubisoft,2540,1950,210,870,5570,584
158,Super Smash Bros.,N64,1999,Fighting,#Nintendo,2950,600,1970,40,5560,1180
159,Assassin's Creed,X360,2007,Adventure,#Ubisoft,3280,1650,70,550,5550,952
160,Batman: Arkham City,PS3,2011,Action,#Warner Bros. Interactive Entertainment,2700,1910,110,800,5520,1201
161,Forza Motorsport 3,X360,2009,Racing,#Microsoft Game Studios,2990,1920,100,510,5520,1435
162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,#Capcom,470,570,4130,340,5510,554
163,Super Mario Advance,GBA,2001,Platform,#Nintendo,3140,1240,910,200,5490,574
164,Mario Kart: Super Circuit,GBA,2001,Racing,#Nintendo,2620,1640,990,230,5480,536
165,Super Mario World,GBA,2001,Platform,#Nintendo,3210,1110,950,200,5470,1255
166,Pokemon Stadium,N64,1999,Strategy,#Nintendo,3180,1240,940,90,5450,1238
167,Call of Duty: World at War,PS3,2008,Shooter,#Activision,2720,1870,0,840,5430,1475
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,#Universal Interactive,2070,2290,240,820,5420,1497
169,Minecraft,PS3,2014,Misc,#Sony Computer Entertainment,1970,2510,0,940,5420,744
170,Final Fantasy XIII,PS3,2009,Role-Playing,#Square Enix,1740,1240,1870,520,5370,1211
171,Dr. Mario,GB,1989,Puzzle,#Nintendo,2180,960,2000,200,5340,1144
172,Pokemon Pinball,GB,1999,Misc,#Nintendo,3020,1120,1010,160,5310,868
173,Assassin's Creed III,X360,2012,Action,#Ubisoft,3130,1710,30,440,5310,942
174,Final Fantasy IX,PS,2000,Role-Playing,#SquareSoft,1620,770,2780,140,5310,1143
175,Final Fantasy X-2,PS2,2003,Role-Playing,#Electronic Arts,1920,1080,2110,170,5280,563
176,Donkey Kong 64,N64,1999,Platform,#Nintendo,3330,790,1090,60,5270,1395
177,Assassin's Creed II,X360,2009,Action,#Ubisoft,3100,1560,80,510,5250,1068
178,Professor Layton and the Curious Village,DS,2007,Puzzle,#Nintendo,1220,2480,1030,520,5250,1406
179,Tomb Raider II,PS,1997,Action,#Eidos Interactive,2300,2460,200,280,5240,1286
180,Madden NFL 2004,PS2,2003,Sports,#Electronic Arts,4260,260,10,710,5240,682
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,#Square Enix,650,750,3610,200,5210,632
182,Diablo III,PC,2012,Role-Playing,#Activision,2430,2150,0,620,5200,647
183,Super Mario Bros. 3,GBA,2003,Platform,#Nintendo,2930,1250,830,200,5210,876
184,New Super Mario Bros. U,WiiU,2012,Platform,#Nintendo,2320,1300,1270,310,5200,605
185,Super Mario Land 3: Wario Land,GB,1994,Platform,#Nintendo,2490,980,1570,150,5190,726
186,FIFA Soccer 13,X360,2012,Action,#Electronic Arts,1080,3480,30,580,5170,942
187,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,#Nintendo,1900,1830,950,490,5170,830
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,#Nintendo,2100,740,2200,110,5150,743
189,Tomodachi Life,3DS,2013,Simulation,#Nintendo,960,2020,1890,280,5150,1415
190,Mario & Sonic at the Olympic Games,DS,2008,Sports,#Sega,1640,2480,440,580,5140,1496
191,Medal of Honor: Rising Sun,PS2,2003,Shooter,#Electronic Arts,1980,2230,130,800,5140,1405
192,Kirby's Dream Land,GB,1992,Platform,#Nintendo,2710,610,1700,110,5130,1182
193,Fable III,X360,2010,Role-Playing,#Microsoft Game Studios,3590,1110,50,380,5130,959
194,Call of Duty: Advanced Warfare,XOne,2014,Shooter,#Activision,3210,1530,10,380,5130,725
195,Microsoft Flight Simulator,PC,1996,Simulation,#Microsoft Game Studios,3220,1690,0,200,5110,1347
196,Guitar Hero II,PS2,2006,Misc,#RedOctane,3810,630,0,680,5120,1335
197,Resident Evil 5,PS3,2009,Action,#Capcom,1960,1430,1080,650,5120,1228
198,Grand Theft Auto V,XOne,2014,Action,#Take-Two Interactive,2660,2010,0,410,5080,537
199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,#Take-Two Interactive,1700,2020,160,1210,5090,1405
200,FIFA Soccer 11,PS3,2010,Sports,#Electronic Arts,600,3290,60,1130,5080,1230
201,Super Mario Bros.,GB,1999,Platform,#Nintendo,3400,1300,150,220,5070,979
202,Resident Evil,PS,1996,Action,#Virgin Interactive,2050,1160,1110,730,5050,567
203,Tony Hawk's Pro Skater,PS,1999,Sports,#Activision,3420,1380,20,200,5020,598
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,#Nintendo,2590,1060,800,570,5020,1117
205,Warzone 2100,PS,1999,Strategy,#Eidos Interactive,2790,1890,0,330,5010,905
206,Spyro the Dragon,PS,1998,Platform,#Sony Computer Entertainment,3360,1360,70,210,5000,1180
207,Link's Crossbow Training,Wii,2007,Shooter,#Nintendo,3060,1180,290,460,4990,699
208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,#Activision,3490,10,10,1480,4990,1143
209,Fallout 3,X360,2008,Role-Playing,#Bethesda Softworks,3390,1030,90,440,4950,1225
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,#Nintendo,1850,1200,1540,370,4960,1045
211,Uncharted: Drake's Fortune,PS3,2007,Action,#Sony Computer Entertainment,2310,1730,120,780,4940,1036
212,Madden NFL 06,PS2,2005,Sports,#Electronic Arts,3980,260,10,660,4910,1244
213,LEGO Star Wars: The Complete Saga,DS,2007,Action,#LucasArts,2890,1540,0,460,4890,1371
214,Diddy Kong Racing,N64,1997,Racing,#Nintendo,2910,990,890,100,4890,1198
215,Monster Hunter Freedom 3,PSP,2010,Role-Playing,#Capcom,0,0,4870,0,4870,750
216,Dr. Mario,NES,1990,Puzzle,#Nintendo,2620,600,1520,100,4840,1412
217,God of War III,PS3,2010,Action,#Sony Computer Entertainment,2740,1360,120,630,4850,775
218,StarCraft II: Wings of Liberty,PC,2010,Strategy,#Activision,2560,1680,0,590,4830,571
219,Assassin's Creed,PS3,2007,Adventure,#Ubisoft,1910,2000,90,830,4830,872
220,FIFA 15,PS3,2014,Sports,#Electronic Arts,570,3140,40,1070,4820,941
221,Crash Team Racing,PS,1999,Racing,#Sony Computer Entertainment,2570,1570,440,210,4790,1084
222,FIFA 17,PS4,2016,Sports,#Electronic Arts,280,3750,60,690,4780,1149
223,Batman: Arkham City,X360,2011,Action,#Warner Bros. Interactive Entertainment,2990,1310,40,410,4750,1171
224,Driver 2,PS,2000,Action,#Atari,2360,2100,20,250,4730,1323
225,The Simpsons: Hit & Run,PS2,2003,Racing,#Vivendi Games,1730,2190,0,790,4710,1157
226,Tony Hawk's Pro Skater 2,PS,2000,Sports,#Activision,3050,1410,20,200,4680,1028
227,Animal Crossing: City Folk,Wii,2008,Simulation,#Nintendo,1870,1120,1320,370,4680,505
228,The Lord of the Rings: The Two Towers,PS2,2002,Action,#Electronic Arts,1940,1950,80,700,4670,976
229,Forza Motorsport 4,X360,2011,Racing,#Microsoft Game Studios,2080,2040,60,470,4650,1076
230,Tomb Raider,PS,1996,Action,#Eidos Interactive,2290,1970,130,240,4630,891
231,Guitar Hero III: Legends of Rock,Wii,2007,Misc,#Activision,3060,1120,0,440,4620,582
232,The Legend of Zelda: A Link to the Past,SNES,1991,Action,#Nintendo,2420,910,1150,130,4610,1127
233,The Legend of Zelda: The Wind Waker,GC,2002,Action,#Nintendo,2600,990,890,130,4610,1013
234,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,#Sega,1890,1990,220,480,4580,611
235,Luigi's Mansion: Dark Moon,3DS,2013,Action,#Nintendo,1780,1390,1100,300,4570,1347
236,Splatoon,WiiU,2015,Shooter,#Nintendo,1550,1150,1440,430,4570,725
237,The Last of Us,PS4,2014,Action,#Sony Computer Entertainment,1780,1870,70,820,4540,1184
238,Guitar Hero III: Legends of Rock,X360,2007,Misc,#Activision,3190,920,10,420,4540,970
239,Madden NFL 2005,PS2,2004,Sports,#Electronic Arts,4180,260,10,80,4530,974
240,Pitfall!,PS2,1981,Platform,#Activision,4210,240,0,50,4500,1483
241,Madden NFL 07,PS2,2006,Sports,#Electronic Arts,3630,240,10,610,4490,1359
242,Spider-Man: The Movie,PS2,2002,Action,#Activision,2710,1510,30,230,4480,760
243,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,#Enix Corporation,200,140,4100,20,4460,1322
244,Uncharted: The Nathan Drake Collection,PS4,2015,Action,#Sony Computer Entertainment,1960,1690,80,740,4470,757
245,Call of Duty: Advanced Warfare,PS3,2014,Shooter,#Activision,1540,1940,190,770,4440,1314
246,God of War,PS2,2005,Action,#Sony Computer Entertainment,2710,1290,20,430,4450,871
247,Nintendo Land,WiiU,2012,Misc,#Nintendo,2550,1110,460,330,4450,985
248,Michael Jackson: The Experience,Wii,2010,Misc,#Ubisoft,2670,1350,10,390,4420,1241
249,Tony Hawk's Pro Skater 3,PS2,2001,Sports,#Activision,2660,1290,10,460,4420,1391
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,#Konami Digital Entertainment,100,2390,1050,860,4400,1295
251,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,#Take-Two Interactive,2820,1050,130,400,4400,589
252,Zelda II: The Adventure of Link,NES,1987,Adventure,#Nintendo,2190,500,1610,80,4380,1152
253,Need for Speed: Most Wanted,PS2,2005,Racing,#Electronic Arts,2030,1790,80,470,4370,858
254,Resistance: Fall of Man,PS3,2006,Shooter,#Sony Computer Entertainment,1730,1730,140,750,4350,1390
255,Sonic the Hedgehog,GEN,1991,Platform,#Sega,3030,910,260,130,4330,755
256,Kingdom Hearts II,PS2,2005,Role-Playing,#Square Enix,2200,580,1380,170,4330,894
257,FIFA 14,X360,2013,Sports,#Electronic Arts,920,2930,10,460,4320,1080
258,Call of Duty: Advanced Warfare,X360,2014,Shooter,#Activision,2750,1180,0,370,4300,1145
259,Asteroids,X360,1980,Shooter,#Atari,4000,260,0,50,4310,1260
260,Fable II,X360,2008,Role-Playing,#Microsoft Game Studios,2510,1270,110,410,4300,970
261,Halo 5: Guardians,XOne,2015,Shooter,#Microsoft Game Studios,2640,1200,30,390,4260,585
262,Super Mario 3D World,WiiU,2013,Platform,#Nintendo,2110,1110,720,300,4240,629
263,Batman: Arkham Asylum,PS3,2009,Action,#Eidos Interactive,2230,1340,70,610,4250,1269
264,Assassin's Creed: Revelations,PS3,2011,Action,#Ubisoft,1410,2020,100,720,4250,1251
265,Namco Museum,GBA,2001,Misc,#Namco Bandai Games,3000,1110,50,70,4230,1019
266,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,#Konami Digital Entertainment,1460,0,830,1930,4220,1306
267,Daxter,PSP,2006,Platform,#Sony Computer Entertainment,2450,1020,0,750,4220,1151
268,Warcraft II: Tides of Darkness,PC,1995,Strategy,#Activision,1700,2270,0,230,4200,588
269,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,#Nintendo,2030,1270,620,300,4220,613
270,FIFA Soccer 06,PS2,2005,Sports,#Electronic Arts,780,2550,40,840,4210,1377
271,EyeToy Play,PS2,2003,Misc,#Sony Computer Entertainment,880,2300,200,830,4210,1340
272,Uncharted 4: A Thief's End,PS4,2016,Shooter,#Sony Computer Entertainment,1300,2070,180,650,4200,1156
273,Gran Turismo 5 Prologue,PS3,2007,Racing,#Sony Computer Entertainment,1280,1830,570,530,4210,1237
274,Assassin's Creed: Revelations,X360,2011,Action,#Ubisoft,2250,1470,40,430,4190,884
275,Street Fighter IV,PS3,2009,Fighting,#Capcom,2020,1060,580,530,4190,857
276,FIFA 12,X360,2011,Sports,#Electronic Arts,840,2790,20,530,4180,818
277,Teenage Mutant Ninja Turtles,NES,1989,Action,#Palcom,3380,440,310,40,4170,1324
278,Excitebike,NES,1984,Racing,#Nintendo,2040,480,1570,70,4160,857
279,Frogger,PS,1997,Action,#Hasbro Interactive,3790,270,0,110,4170,658
280,Madden NFL 2003,PS2,2002,Sports,#Electronic Arts,3360,210,10,560,4140,1316
