transaction_id,transaction_month,store_id,store_location,product_id,product_category,product_type,product_detail,transaction_qty,unit_price,sales
40021,October,8,Hell's Kitchen,45,Tea,Brewed herbal tea,Peppermint Lg,1,3,3
44465,October,8,Hell's Kitchen,45,Tea,Brewed herbal tea,Peppermint Lg,2,3,6
61969,October,8,Hell's Kitchen,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,1,3,3
35695,November,5,Lower Manhattan,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2,3.75,7.5
23426,December,5,Lower Manhattan,78,Bakery,Scone,Scottish Cream Scone ,1,4.5,4.5
73570,November,5,Lower Manhattan,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,1,2.55,2.55
97903,December,5,Lower Manhattan,77,Bakery,Scone,Oatmeal Scone,1,3,3
88827,December,5,Lower Manhattan,44,Tea,Brewed herbal tea,Peppermint Rg,1,2.5,2.5
26979,November,5,Lower Manhattan,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2,2.55,5.1
94570,December,5,Lower Manhattan,48,Tea,Brewed Black tea,English Breakfast Rg,1,2.5,2.5
46045,December,8,Hell's Kitchen,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,1,2.5,2.5
96215,October,8,Hell's Kitchen,46,Tea,Brewed Green tea,Serenity Green Tea Rg,1,2.5,2.5
73353,December,8,Hell's Kitchen,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,1,3,3
14807,October,5,Lower Manhattan,47,Tea,Brewed Green tea,Serenity Green Tea Lg,2,3,6
30744,November,5,Lower Manhattan,43,Tea,Brewed herbal tea,Lemon Grass Lg,2,3,6
69672,December,5,Lower Manhattan,25,Coffee,Organic brewed coffee,Brazilian Sm,2,2.2,4.4
26404,December,8,Hell's Kitchen,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,1,4.5,4.5
61370,November,5,Lower Manhattan,38,Coffee,Barista Espresso,Latte,1,3.75,3.75
77119,December,8,Hell's Kitchen,45,Tea,Brewed herbal tea,Peppermint Lg,1,3,3
49195,October,5,Lower Manhattan,34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,1,2.45,2.45
78000,October,8,Hell's Kitchen,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2,3.75,7.5
26683,November,8,Hell's Kitchen,74,Bakery,Biscotti,Ginger Biscotti,1,3.5,3.5
42047,December,8,Hell's Kitchen,53,Tea,Brewed Chai tea,Traditional Blend Chai Lg,1,3,3
95124,October,8,Hell's Kitchen,41,Coffee,Barista Espresso,Cappuccino Lg,2,4.25,8.5
15138,December,5,Lower Manhattan,41,Coffee,Barista Espresso,Cappuccino Lg,1,4.25,4.25
15631,December,5,Lower Manhattan,45,Tea,Brewed herbal tea,Peppermint Lg,2,3,6
46129,December,5,Lower Manhattan,79,Bakery,Scone,Jumbo Savory Scone,1,3.75,3.75
50328,December,5,Lower Manhattan,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,2.5,5
28206,December,5,Lower Manhattan,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,1,3,3
58355,December,5,Lower Manhattan,37,Coffee,Barista Espresso,Espresso shot,2,3,6
80043,November,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,2,3.75,7.5
92358,December,5,Lower Manhattan,37,Coffee,Barista Espresso,Espresso shot,2,3,6
51761,December,5,Lower Manhattan,69,Bakery,Biscotti,Hazelnut Biscotti,1,3.25,3.25
50470,December,5,Lower Manhattan,50,Tea,Brewed Black tea,Earl Grey Rg,1,2.5,2.5
66325,November,8,Hell's Kitchen,47,Tea,Brewed Green tea,Serenity Green Tea Lg,1,3,3
11321,October,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,2,3.75,7.5
56415,October,8,Hell's Kitchen,72,Bakery,Scone,Ginger Scone,1,3.25,3.25
59032,October,8,Hell's Kitchen,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,1,3.1,3.1
26825,December,5,Lower Manhattan,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,1,2.5,2.5
89172,October,5,Lower Manhattan,43,Tea,Brewed herbal tea,Lemon Grass Lg,2,3,6
84099,October,8,Hell's Kitchen,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,1,2,2
28252,November,8,Hell's Kitchen,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,2,3,6
76798,December,8,Hell's Kitchen,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2,3.75,7.5
69997,October,5,Lower Manhattan,26,Coffee,Organic brewed coffee,Brazilian Rg,1,3,3
89288,November,5,Lower Manhattan,71,Bakery,Pastry,Chocolate Croissant,1,3.75,3.75
33719,December,5,Lower Manhattan,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,2,3,6
28935,December,8,Hell's Kitchen,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,1,2.5,2.5
18967,October,8,Hell's Kitchen,41,Coffee,Barista Espresso,Cappuccino Lg,2,4.25,8.5
55590,December,5,Lower Manhattan,25,Coffee,Organic brewed coffee,Brazilian Sm,2,2.2,4.4
87655,December,5,Lower Manhattan,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2,2.5,5
64531,November,8,Hell's Kitchen,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,1,2.5,2.5
59650,November,8,Hell's Kitchen,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2,2.55,5.1
40531,November,5,Lower Manhattan,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,2,3.5,7
10620,November,5,Lower Manhattan,74,Bakery,Biscotti,Ginger Biscotti,1,3.5,3.5
14358,December,8,Hell's Kitchen,47,Tea,Brewed Green tea,Serenity Green Tea Lg,2,3,6
75548,December,5,Lower Manhattan,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,1,3.1,3.1
11329,December,5,Lower Manhattan,70,Bakery,Scone,Cranberry Scone,1,3.25,3.25
17001,November,8,Hell's Kitchen,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,1,3.75,3.75
48910,October,5,Lower Manhattan,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,1,4.5,4.5
71927,November,5,Lower Manhattan,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2,3.75,7.5
30984,November,8,Hell's Kitchen,51,Tea,Brewed Black tea,Earl Grey Lg,2,3,6
62570,November,5,Lower Manhattan,61,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2,4.75,9.5
26153,October,5,Lower Manhattan,47,Tea,Brewed Green tea,Serenity Green Tea Lg,1,3,3
78265,October,8,Hell's Kitchen,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2,2.5,5
17105,December,8,Hell's Kitchen,73,Bakery,Pastry,Almond Croissant,1,3.75,3.75
32513,November,5,Lower Manhattan,38,Coffee,Barista Espresso,Latte,1,3.75,3.75
75131,October,5,Lower Manhattan,76,Bakery,Biscotti,Chocolate Chip Biscotti,1,3.5,3.5
89982,October,3,Astoria,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,1,2,2
55562,December,3,Astoria,38,Coffee,Barista Espresso,Latte,1,3.75,3.75
97383,December,3,Astoria,75,Bakery,Pastry,Croissant,1,3.5,3.5
55384,December,5,Lower Manhattan,47,Tea,Brewed Green tea,Serenity Green Tea Lg,2,3,6
20500,December,5,Lower Manhattan,75,Bakery,Pastry,Croissant,1,3.5,3.5
87257,November,8,Hell's Kitchen,39,Coffee,Barista Espresso,Latte Rg,2,4.25,8.5
32613,October,3,Astoria,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,1,4.5,4.5
35463,October,8,Hell's Kitchen,51,Tea,Brewed Black tea,Earl Grey Lg,2,3,6
21162,December,3,Astoria,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,1,4.5,4.5
69107,November,3,Astoria,47,Tea,Brewed Green tea,Serenity Green Tea Lg,1,3,3
54517,October,3,Astoria,79,Bakery,Scone,Jumbo Savory Scone,1,3.75,3.75
58574,October,3,Astoria,46,Tea,Brewed Green tea,Serenity Green Tea Rg,1,2.5,2.5
37000,November,3,Astoria,43,Tea,Brewed herbal tea,Lemon Grass Lg,1,3,3
69666,October,3,Astoria,45,Tea,Brewed herbal tea,Peppermint Lg,2,3,6
91905,October,8,Hell's Kitchen,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,2.5,5
59810,December,5,Lower Manhattan,51,Tea,Brewed Black tea,Earl Grey Lg,2,3,6
40995,November,3,Astoria,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,1,3.75,3.75
45724,October,8,Hell's Kitchen,31,Coffee,Gourmet brewed coffee,Ethiopia Sm,1,2.2,2.2
87911,December,5,Lower Manhattan,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2,3.75,7.5
57351,December,5,Lower Manhattan,77,Bakery,Scone,Oatmeal Scone,1,3,3
28063,November,3,Astoria,49,Tea,Brewed Black tea,English Breakfast Lg,2,3,6
88702,December,5,Lower Manhattan,40,Coffee,Barista Espresso,Cappuccino,2,3.75,7.5
30967,December,8,Hell's Kitchen,44,Tea,Brewed herbal tea,Peppermint Rg,2,2.5,5
79499,November,3,Astoria,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,2,3.5,7
12711,November,5,Lower Manhattan,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2,2.55,5.1
38672,December,8,Hell's Kitchen,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2,3.1,6.2
67391,December,8,Hell's Kitchen,78,Bakery,Scone,Scottish Cream Scone ,1,4.5,4.5
60506,November,8,Hell's Kitchen,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,1,2.5,2.5
11105,December,8,Hell's Kitchen,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,1,3,3
99457,December,5,Lower Manhattan,51,Tea,Brewed Black tea,Earl Grey Lg,2,3,6
60597,November,5,Lower Manhattan,72,Bakery,Scone,Ginger Scone,1,3.25,3.25
70769,December,5,Lower Manhattan,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,2.5,5
99089,October,5,Lower Manhattan,75,Bakery,Pastry,Croissant,1,3.5,3.5
20386,December,5,Lower Manhattan,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,1,3.75,3.75
93530,October,5,Lower Manhattan,71,Bakery,Pastry,Chocolate Croissant,1,3.75,3.75
21141,December,3,Astoria,52,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2,2.5,5
42592,November,3,Astoria,25,Coffee,Organic brewed coffee,Brazilian Sm,2,2.2,4.4
99060,November,5,Lower Manhattan,38,Coffee,Barista Espresso,Latte,1,3.75,3.75
21630,December,3,Astoria,30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,1,3,3
76888,October,8,Hell's Kitchen,50,Tea,Brewed Black tea,Earl Grey Rg,2,2.5,5
25854,November,8,Hell's Kitchen,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,1,2.5,2.5
24680,October,8,Hell's Kitchen,72,Bakery,Scone,Ginger Scone,1,3.25,3.25
53338,November,3,Astoria,26,Coffee,Organic brewed coffee,Brazilian Rg,2,3,6
64108,November,3,Astoria,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2,3.75,7.5
15846,December,5,Lower Manhattan,45,Tea,Brewed herbal tea,Peppermint Lg,2,3,6
43430,December,8,Hell's Kitchen,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,2,3.5,7
73974,December,5,Lower Manhattan,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,1,3.1,3.1
30331,December,3,Astoria,37,Coffee,Barista Espresso,Espresso shot,2,3,6
58414,December,3,Astoria,50,Tea,Brewed Black tea,Earl Grey Rg,1,2.5,2.5
55735,October,3,Astoria,79,Bakery,Scone,Jumbo Savory Scone,1,3.75,3.75
46672,October,3,Astoria,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2,3.75,7.5
71434,November,5,Lower Manhattan,29,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,1,2.5,2.5
22764,December,3,Astoria,49,Tea,Brewed Black tea,English Breakfast Lg,2,3,6
70249,December,3,Astoria,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2,3.1,6.2
40983,December,3,Astoria,75,Bakery,Pastry,Croissant,1,3.5,3.5
49008,December,8,Hell's Kitchen,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,1,3.75,3.75
26159,December,8,Hell's Kitchen,47,Tea,Brewed Green tea,Serenity Green Tea Lg,1,3,3
60906,October,3,Astoria,44,Tea,Brewed herbal tea,Peppermint Rg,1,2.5,2.5
25738,November,8,Hell's Kitchen,27,Coffee,Organic brewed coffee,Brazilian Lg,2,3.5,7
75932,October,3,Astoria,52,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2,2.5,5
99909,October,5,Lower Manhattan,46,Tea,Brewed Green tea,Serenity Green Tea Rg,1,2.5,2.5
31506,December,8,Hell's Kitchen,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,1,3,3
37817,November,5,Lower Manhattan,43,Tea,Brewed herbal tea,Lemon Grass Lg,1,3,3
12929,November,8,Hell's Kitchen,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,1,3.1,3.1
41116,October,3,Astoria,28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2,2,4
16944,November,8,Hell's Kitchen,50,Tea,Brewed Black tea,Earl Grey Rg,2,2.5,5
72553,October,5,Lower Manhattan,38,Coffee,Barista Espresso,Latte,2,3.75,7.5
55688,October,8,Hell's Kitchen,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2,3.1,6.2
92019,October,8,Hell's Kitchen,50,Tea,Brewed Black tea,Earl Grey Rg,2,2.5,5
61413,November,5,Lower Manhattan,25,Coffee,Organic brewed coffee,Brazilian Sm,2,2.2,4.4
84905,October,3,Astoria,49,Tea,Brewed Black tea,English Breakfast Lg,2,3,6
40300,November,3,Astoria,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2,3.75,7.5
10188,December,3,Astoria,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,1,3,3
21697,November,5,Lower Manhattan,41,Coffee,Barista Espresso,Cappuccino Lg,2,4.25,8.5
61943,December,3,Astoria,44,Tea,Brewed herbal tea,Peppermint Rg,2,2.5,5
84614,November,8,Hell's Kitchen,38,Coffee,Barista Espresso,Latte,1,3.75,3.75
28434,December,3,Astoria,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,2.5,5
58027,November,3,Astoria,29,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2,2.5,5
30154,October,5,Lower Manhattan,31,Coffee,Gourmet brewed coffee,Ethiopia Sm,2,2.2,4.4
84475,November,8,Hell's Kitchen,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,1,3.75,3.75
12758,November,8,Hell's Kitchen,49,Tea,Brewed Black tea,English Breakfast Lg,2,3,6
35850,November,3,Astoria,53,Tea,Brewed Chai tea,Traditional Blend Chai Lg,1,3,3
89347,December,8,Hell's Kitchen,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,1,3.75,3.75
16774,December,3,Astoria,53,Tea,Brewed Chai tea,Traditional Blend Chai Lg,1,3,3
80433,December,3,Astoria,52,Tea,Brewed Chai tea,Traditional Blend Chai Rg,1,2.5,2.5
29381,December,3,Astoria,28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2,2,4
46036,November,3,Astoria,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,1,2.55,2.55
45700,December,3,Astoria,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,1,2.5,2.5
37897,October,3,Astoria,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,1,3.5,3.5
21784,December,3,Astoria,75,Bakery,Pastry,Croissant,1,3.5,3.5
96839,October,3,Astoria,38,Coffee,Barista Espresso,Latte,2,3.75,7.5
64680,October,8,Hell's Kitchen,30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,1,3,3
90006,November,3,Astoria,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,1,4.5,4.5
37471,December,3,Astoria,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,2,3,6
10179,November,8,Hell's Kitchen,53,Tea,Brewed Chai tea,Traditional Blend Chai Lg,1,3,3
14118,November,5,Lower Manhattan,61,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,1,4.75,4.75
27946,October,5,Lower Manhattan,72,Bakery,Scone,Ginger Scone,1,3.25,3.25
79136,October,5,Lower Manhattan,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,1,2.55,2.55
31227,December,5,Lower Manhattan,75,Bakery,Pastry,Croissant,1,3.5,3.5
54226,October,8,Hell's Kitchen,29,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2,2.5,5
33059,October,8,Hell's Kitchen,37,Coffee,Barista Espresso,Espresso shot,1,3,3
25885,November,3,Astoria,49,Tea,Brewed Black tea,English Breakfast Lg,1,3,3
60607,October,5,Lower Manhattan,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,1,3.1,3.1
12963,October,5,Lower Manhattan,75,Bakery,Pastry,Croissant,1,3.5,3.5
27730,November,8,Hell's Kitchen,45,Tea,Brewed herbal tea,Peppermint Lg,1,3,3
19090,November,8,Hell's Kitchen,26,Coffee,Organic brewed coffee,Brazilian Rg,2,3,6
92219,December,3,Astoria,61,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,1,4.75,4.75
21500,October,3,Astoria,47,Tea,Brewed Green tea,Serenity Green Tea Lg,1,3,3
12571,November,3,Astoria,44,Tea,Brewed herbal tea,Peppermint Rg,2,2.5,5
19428,December,8,Hell's Kitchen,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,1,3.75,3.75
49244,November,5,Lower Manhattan,30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,2,3,6
73385,November,5,Lower Manhattan,25,Coffee,Organic brewed coffee,Brazilian Sm,2,2.2,4.4
81149,October,8,Hell's Kitchen,49,Tea,Brewed Black tea,English Breakfast Lg,1,3,3
92028,December,8,Hell's Kitchen,78,Bakery,Scone,Scottish Cream Scone ,1,4.5,4.5
20333,October,8,Hell's Kitchen,26,Coffee,Organic brewed coffee,Brazilian Rg,1,3,3
69128,December,3,Astoria,43,Tea,Brewed herbal tea,Lemon Grass Lg,2,3,6
19694,October,8,Hell's Kitchen,25,Coffee,Organic brewed coffee,Brazilian Sm,2,2.2,4.4
36539,November,8,Hell's Kitchen,72,Bakery,Scone,Ginger Scone,1,3.25,3.25
49838,December,8,Hell's Kitchen,42,Tea,Brewed herbal tea,Lemon Grass Rg,2,2.5,5
54870,November,8,Hell's Kitchen,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,2.5,5
79418,November,3,Astoria,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,1,2,2
15552,December,3,Astoria,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,1,3.5,3.5
86986,December,5,Lower Manhattan,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,2,3,6
32368,November,3,Astoria,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,1,3.1,3.1
83318,November,5,Lower Manhattan,30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,2,3,6
67829,October,5,Lower Manhattan,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,1,3.75,3.75
48915,November,8,Hell's Kitchen,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,1,2.55,2.55
87688,December,3,Astoria,55,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,2,4,8
57711,December,8,Hell's Kitchen,49,Tea,Brewed Black tea,English Breakfast Lg,2,3,6
42494,December,8,Hell's Kitchen,55,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,1,4,4
81603,October,8,Hell's Kitchen,75,Bakery,Pastry,Croissant,1,3.5,3.5
67643,December,3,Astoria,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,1,2.5,2.5
11102,October,8,Hell's Kitchen,31,Coffee,Gourmet brewed coffee,Ethiopia Sm,2,2.2,4.4
46567,November,3,Astoria,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2,3.1,6.2
30910,December,3,Astoria,38,Coffee,Barista Espresso,Latte,2,3.75,7.5
16307,December,5,Lower Manhattan,23,Coffee,Drip coffee,Our Old Time Diner Blend Rg,1,2.5,2.5
19458,November,3,Astoria,46,Tea,Brewed Green tea,Serenity Green Tea Rg,2,2.5,5
90954,October,3,Astoria,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,2,3.5,7
83175,October,5,Lower Manhattan,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2,3.75,7.5
58712,December,5,Lower Manhattan,31,Coffee,Gourmet brewed coffee,Ethiopia Sm,2,2.2,4.4
17486,December,5,Lower Manhattan,25,Coffee,Organic brewed coffee,Brazilian Sm,2,2.2,4.4
29426,November,5,Lower Manhattan,87,Coffee,Barista Espresso,Ouro Brasileiro shot,1,3,3
71108,November,3,Astoria,28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2,2,4
25241,October,8,Hell's Kitchen,27,Coffee,Organic brewed coffee,Brazilian Lg,1,3.5,3.5
10066,October,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,2,3.75,7.5
90952,November,5,Lower Manhattan,51,Tea,Brewed Black tea,Earl Grey Lg,1,3,3
76109,October,3,Astoria,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,2.5,5
78164,November,3,Astoria,42,Tea,Brewed herbal tea,Lemon Grass Rg,2,2.5,5
46677,December,3,Astoria,43,Tea,Brewed herbal tea,Lemon Grass Lg,1,3,3
18303,November,5,Lower Manhattan,36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,1,3.75,3.75
72510,December,5,Lower Manhattan,52,Tea,Brewed Chai tea,Traditional Blend Chai Rg,1,2.5,2.5
61245,December,5,Lower Manhattan,72,Bakery,Scone,Ginger Scone,1,3.25,3.25
14305,November,3,Astoria,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,2.5,5
44766,December,3,Astoria,69,Bakery,Biscotti,Hazelnut Biscotti,1,3.25,3.25
82786,October,5,Lower Manhattan,25,Coffee,Organic brewed coffee,Brazilian Sm,2,2.2,4.4
24444,October,3,Astoria,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,1,3.1,3.1
31136,November,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,1,3.75,3.75
46552,December,8,Hell's Kitchen,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,2,4
65289,November,5,Lower Manhattan,53,Tea,Brewed Chai tea,Traditional Blend Chai Lg,1,3,3
98340,October,8,Hell's Kitchen,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,2.5,5
84141,October,8,Hell's Kitchen,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,2,3,6
30494,November,3,Astoria,38,Coffee,Barista Espresso,Latte,2,3.75,7.5
77682,October,8,Hell's Kitchen,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,1,3.5,3.5
87100,November,8,Hell's Kitchen,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,2,4
18556,November,5,Lower Manhattan,42,Tea,Brewed herbal tea,Lemon Grass Rg,1,2.5,2.5
