ApplicationID,ActionDate,Stage
RIDE_102,18/09/2024,Background Verification
RIDE_105,13/09/2024,Background Verification
RIDE_107,19/09/2024,Background Verification
RIDE_110,11/09/2024,Background Verification
RIDE_113,19/09/2024,Background Verification
RIDE_116,11/09/2024,Background Verification
RIDE_119,11/09/2024,Background Verification
RIDE_120,11/09/2024,Background Verification
RIDE_122,14/09/2024,Background Verification
RIDE_002,16/09/2024,Background Verification
RIDE_007,10/09/2024,Background Verification
RIDE_010,17/09/2024,Background Verification
RIDE_036,16/09/2024,Background Verification
RIDE_047,17/09/2024,Background Verification
RIDE_053,10/09/2024,Background Verification
RIDE_058,11/09/2024,Background Verification
RIDE_079,14/09/2024,Background Verification
RIDE_089,20/09/2024,Background Verification
RIDE_100,11/09/2024,Background Verification
RIDE_064,15/09/2024,Background Verification
RIDE_067,15/09/2024,Background Verification
RIDE_082,13/09/2024,Background Verification
RIDE_098,10/09/2024,Background Verification
RIDE_112,11/09/2024,Background Verification
RIDE_115,17/09/2024,Background Verification
RIDE_052,13/09/2024,Background Verification
RIDE_055,18/09/2024,Background Verification
RIDE_069,16/09/2024,Background Verification
RIDE_084,15/09/2024,Background Verification
RIDE_091,11/09/2024,Background Verification
RIDE_095,18/09/2024,Background Verification
RIDE_009,14/09/2024,Background Verification
RIDE_012,19/09/2024,Background Verification
RIDE_013,10/09/2024,Background Verification
RIDE_015,15/09/2024,Background Verification
RIDE_003,17/09/2024,Background Verification
RIDE_004,10/09/2024,Background Verification
RIDE_005,11/09/2024,Background Verification
RIDE_006,14/09/2024,Background Verification
RIDE_016,17/09/2024,Background Verification
RIDE_019,19/09/2024,Background Verification
RIDE_023,18/09/2024,Background Verification
RIDE_056,14/09/2024,Background Verification
RIDE_093,10/09/2024,Background Verification
RIDE_060,11/09/2024,Background Verification
RIDE_061,14/09/2024,Background Verification
RIDE_062,20/09/2024,Background Verification
RIDE_063,18/09/2024,Background Verification
RIDE_065,19/09/2024,Background Verification
RIDE_072,12/09/2024,Background Verification
RIDE_117,15/09/2024,Background Verification
RIDE_086,18/09/2024,Background Verification
RIDE_111,12/09/2024,Background Verification
RIDE_096,13/09/2024,Background Verification
RIDE_097,20/09/2024,Background Verification
RIDE_101,11/09/2024,Background Verification
RIDE_075,15/09/2024,Background Verification
RIDE_104,16/09/2024,Background Verification
RIDE_106,16/09/2024,Background Verification
RIDE_108,10/09/2024,Background Verification
RIDE_109,17/09/2024,Background Verification
RIDE_057,13/09/2024,Background Verification
RIDE_114,20/09/2024,Background Verification
RIDE_103,18/09/2024,Background Verification
RIDE_021,14/09/2024,Account Creation
RIDE_073,17/09/2024,Account Creation
RIDE_088,24/09/2024,Account Creation
RIDE_110,14/09/2024,Account Creation
RIDE_058,13/09/2024,Account Creation
RIDE_115,21/09/2024,Account Creation
RIDE_009,17/09/2024,Account Creation
RIDE_023,21/09/2024,Account Creation
RIDE_117,19/09/2024,Account Creation
RIDE_108,14/09/2024,Account Creation
RIDE_045,16/09/2024,Account Creation
RIDE_077,19/09/2024,Account Creation
RIDE_122,19/09/2024,Account Creation
RIDE_064,19/09/2024,Account Creation
RIDE_069,21/09/2024,Account Creation
RIDE_062,23/09/2024,Account Creation
RIDE_110,15/09/2024,First Delivery Completed
RIDE_108,16/09/2024,First Delivery Completed
RIDE_070,16/09/2024,Account Creation
RIDE_036,19/09/2024,Account Creation
RIDE_093,13/09/2024,Account Creation
RIDE_045,18/09/2024,First Delivery Completed
RIDE_073,20/09/2024,First Delivery Completed
RIDE_069,24/09/2024,First Delivery Completed
RIDE_122,20/09/2024,First Delivery Completed
RIDE_058,16/09/2024,First Delivery Completed
RIDE_115,24/09/2024,First Delivery Completed
RIDE_023,24/09/2024,First Delivery Completed
RIDE_064,20/09/2024,First Delivery Completed
RIDE_093,14/09/2024,First Delivery Completed
RIDE_001,21/09/2024,Account Creation
RIDE_014,17/09/2024,Account Creation
RIDE_038,18/09/2024,Account Creation
RIDE_041,18/09/2024,Account Creation
RIDE_100,13/09/2024,Account Creation
RIDE_001,23/09/2024,First Delivery Completed
RIDE_017,15/09/2024,Account Creation
RIDE_018,14/09/2024,Account Creation
RIDE_092,16/09/2024,Account Creation
RIDE_119,16/09/2024,Account Creation
RIDE_017,17/09/2024,First Delivery Completed
RIDE_022,18/09/2024,Account Creation
RIDE_081,20/09/2024,Account Creation
RIDE_102,22/09/2024,Account Creation
RIDE_007,12/09/2024,Account Creation
RIDE_082,17/09/2024,Account Creation
RIDE_091,14/09/2024,Account Creation
RIDE_111,16/09/2024,Account Creation
RIDE_119,17/09/2024,First Delivery Completed
RIDE_031,13/09/2024,Account Creation
RIDE_013,12/09/2024,Account Creation
RIDE_065,22/09/2024,Account Creation
RIDE_075,19/09/2024,Account Creation
RIDE_022,19/09/2024,First Delivery Completed
RIDE_081,20/09/2024,First Delivery Completed
RIDE_092,17/09/2024,First Delivery Completed
RIDE_091,15/09/2024,First Delivery Completed
RIDE_007,14/09/2024,First Delivery Completed
RIDE_082,18/09/2024,First Delivery Completed
RIDE_102,25/09/2024,First Delivery Completed
RIDE_111,17/09/2024,First Delivery Completed
RIDE_031,15/09/2024,First Delivery Completed
RIDE_013,14/09/2024,First Delivery Completed
RIDE_065,24/09/2024,First Delivery Completed
RIDE_041,21/09/2024,First Delivery Completed
