App,Category,Size,Type,ContentRating,Genres,AndroidVersion,Reviews,Rating,Installs,Price
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,3.4M,Free,Everyone,Auto & Vehicles,4.0 and up,197,4.6,50000,0
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,8.9M,Free,Everyone,Auto & Vehicles,4.1 and up,737,4.5,100000,0
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,3.9M,Free,Everyone 10+,Auto & Vehicles,4.0 and up,3574,4.3,1000000,0
Best Car Wallpapers,AUTO_AND_VEHICLES,2.9M,Free,Everyone,Auto & Vehicles,4.1 and up,994,4.5,100000,0
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,38M,Free,Everyone,Auto & Vehicles,4.1 and up,197136,4.9,1000000,0
Pick Your Part Garage,AUTO_AND_VEHICLES,32M,Free,Everyone,Auto & Vehicles,6.0 and up,142,3.9,50000,0
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,37M,Free,Everyone,Auto & Vehicles,4.2 and up,15168,4.4,1000000,0
Supervision service,AUTO_AND_VEHICLES,15M,Free,Everyone,Auto & Vehicles,5.0 and up,2155,4,500000,0
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,5.4M,Free,Everyone,Auto & Vehicles,4.0.3 and up,138,4.3,100000,0
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,18M,Free,Everyone,Auto & Vehicles,4.4 and up,5414,3.7,1000000,0
CarMax – Cars for Sale: Search Used Car Inventory,AUTO_AND_VEHICLES,Varies with device,Free,Everyone,Auto & Vehicles,Varies with device,21777,4.4,1000000,0
BEST CAR SOUNDS,AUTO_AND_VEHICLES,38M,Free,Everyone,Auto & Vehicles,2.3 and up,348,4.3,100000,0
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,1.1M,Free,Everyone,Auto & Vehicles,4.0.3 and up,250,3.2,100000,0
AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,Varies with device,Free,Everyone,Auto & Vehicles,Varies with device,13372,4.6,1000000,0
Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo,AUTO_AND_VEHICLES,Varies with device,Free,Everyone,Auto & Vehicles,Varies with device,7880,4.6,100000,0
SMS Park,AUTO_AND_VEHICLES,7.9M,Free,Everyone,Auto & Vehicles,4.1 and up,3617,4.5,100000,0
SKencar,AUTO_AND_VEHICLES,35M,Free,Everyone,Auto & Vehicles,4.0.3 and up,4806,3.7,1000000,0
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,Varies with device,Free,Everyone,Auto & Vehicles,4.0.3 and up,65786,4.6,1000000,0
auto fines,AUTO_AND_VEHICLES,17M,Free,Everyone,Auto & Vehicles,4.0.3 and up,31433,4.6,1000000,0
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,19M,Free,Everyone,Auto & Vehicles,4.0.3 and up,5097,4.6,1000000,0
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,14M,Free,Everyone,Auto & Vehicles,4.0 and up,1754,4,500000,0
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,2.2M,Free,Everyone,Auto & Vehicles,4.0.3 and up,2680,4.4,500000,0
Gas Station,AUTO_AND_VEHICLES,4.5M,Free,Everyone,Auto & Vehicles,4.0 and up,1288,4,100000,0
Hush - Beauty for Everyone,BEAUTY,17M,Free,Everyone,Beauty,5.0 and up,18900,4.7,500000,0
"ipsy: Makeup, Beauty, and Tips",BEAUTY,14M,Free,Everyone,Beauty,4.1 and up,49790,4.9,1000000,0
Natural recipes for your beauty,BEAUTY,9.8M,Free,Everyone,Beauty,4.1 and up,1150,4.7,100000,0
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,21M,Free,Everyone,Beauty,4.0.3 and up,1739,3.9,500000,0
Mirror - Zoom & Exposure -,BEAUTY,Varies with device,Free,Everyone,Beauty,Varies with device,32090,3.9,1000000,0
Beauty Selfie Camera,BEAUTY,52M,Free,Everyone,Beauty,4.1 and up,2225,4.2,500000,0
Hairstyles step by step,BEAUTY,14M,Free,Everyone,Beauty,4.0.3 and up,4369,4.6,100000,0
Filters for Selfie,BEAUTY,25M,Free,Everyone,Beauty,4.0 and up,8572,4.3,1000000,0
Tie - Always be happy,BEAUTY,9.0M,Free,Everyone,Beauty,4.2 and up,964,4.7,50000,0
Ulta Beauty,BEAUTY,Varies with device,Free,Everyone,Beauty,5.0 and up,42050,4.7,1000000,0
Prom MakeUp Tutorial,BEAUTY,12M,Free,Everyone,Beauty,4.0.3 and up,104,4.8,10000,0
Selfie Camera,BEAUTY,Varies with device,Free,Everyone,Beauty,Varies with device,17934,4.2,1000000,0
Sweet Selfie Beauty Camera,BEAUTY,35M,Free,Everyone,Beauty,4.0 and up,601,4.3,100000,0
Colors of white in Urdu,BEAUTY,6.7M,Free,Everyone,Beauty,4.0 and up,36,4.5,10000,0
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,30M,Free,Teen,Beauty,4.0.3 and up,187,4.1,50000,0
Wrinkles and rejuvenation,BEAUTY,5.7M,Free,Everyone 10+,Beauty,3.0 and up,182,NaN,100000,0
Eyes Makeup Beauty Tips,BEAUTY,2.9M,Free,Everyone,Beauty,4.0.3 and up,30,4.2,10000,0
Photo Editor 2018,BEAUTY,17M,Free,Everyone,Beauty,4.0.3 and up,134,4.5,10000,0
Step By Step Eyes Makeup Tutorial,BEAUTY,2.9M,Free,Everyone,Beauty,4.0.3 and up,74,4.4,10000,0
Beauty Camera - Selfie Camera,BEAUTY,Varies with device,Free,Everyone,Beauty,Varies with device,113715,4,10000000,0
Girls Hairstyles,BEAUTY,Varies with device,Free,Everyone,Beauty,4.0 and up,3595,4.1,500000,0
Mirror Camera (Mirror + Selfie Camera),BEAUTY,2.6M,Free,Everyone,Beauty,4.0 and up,9315,4.1,1000000,0
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.2M,Free,Everyone,Beauty,4.0.3 and up,75,4.4,50000,0
Haircut Tutorials/Haircut Videos,BEAUTY,7.1M,Free,Everyone,Beauty,4.0 and up,38,4.6,10000,0
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,57M,Free,Everyone,Beauty,5.0 and up,26834,4.5,1000000,0
Manicure - nail design,BEAUTY,3.7M,Free,Everyone,Beauty,4.1 and up,119,NaN,50000,0
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,22M,Free,Everyone,Beauty,4.0.3 and up,2277,3.9,500000,0
Filters for B Live,BEAUTY,24M,Free,Everyone,Beauty,4.0 and up,2280,4.4,500000,0
Skin Care and Natural Beauty,BEAUTY,7.4M,Free,Teen,Beauty,4.1 and up,654,NaN,100000,0
Facial Wrinkle Reduction,BEAUTY,21M,Free,Everyone,Beauty,4.1 and up,184,4.6,10000,0
Makeup Videos,BEAUTY,3.4M,Free,Everyone,Beauty,4.0 and up,9,3.8,5000,0
"Secrets of beauty, youth and health",BEAUTY,2.9M,Free,Mature 17+,Beauty,2.3 and up,77,NaN,10000,0
Recipes and tips for losing weight,BEAUTY,3.1M,Free,Everyone 10+,Beauty,3.0 and up,35,NaN,10000,0
Discover Color,BEAUTY,6.4M,Free,Everyone,Beauty,4.0.3 and up,364,4,100000,0
Eyeliner step by step 2018,BEAUTY,3.2M,Free,Everyone,Beauty,4.0.3 and up,18,4.3,5000,0
Dresses Ideas & Fashions +3000,BEAUTY,8.2M,Free,Mature 17+,Beauty,1.6 and up,473,4.5,100000,0
"Lady adviser (beauty, health)",BEAUTY,9.9M,Free,Mature 17+,Beauty,3.0 and up,30,NaN,10000,0
Step By Step Hairstyles For Women,BEAUTY,2.9M,Free,Everyone,Beauty,4.0.3 and up,66,4.1,10000,0
Rainbow Camera,BEAUTY,23M,Free,Everyone,Beauty,4.0 and up,3871,3.7,1000000,0
Methods of teeth whitening,BEAUTY,4.6M,Free,Everyone,Beauty,4.0.3 and up,257,4.7,50000,0
Girls hairstyles 2018,BEAUTY,3.1M,Free,Everyone,Beauty,4.0.3 and up,62,4.2,10000,0
Wattpad 📖 Free Books,BOOKS_AND_REFERENCE,Varies with device,Free,Teen,Books & Reference,Varies with device,2914724,4.6,100000000,0
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.9M,Free,Everyone,Books & Reference,4.4 and up,1857,4.5,50000,0
Download free book with green book,BOOKS_AND_REFERENCE,9.5M,Free,Everyone 10+,Books & Reference,4.0 and up,4478,4.6,100000,0
Wikipedia,BOOKS_AND_REFERENCE,Varies with device,Free,Everyone,Books & Reference,Varies with device,577550,4.4,10000000,0
Amazon Kindle,BOOKS_AND_REFERENCE,Varies with device,Free,Teen,Books & Reference,Varies with device,814080,4.2,100000000,0
Cool Reader,BOOKS_AND_REFERENCE,Varies with device,Free,Everyone,Books & Reference,1.5 and up,246315,4.5,10000000,0
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,Varies with device,Free,Everyone,Books & Reference,Varies with device,454060,4.5,10000000,0
NOOK: Read eBooks & Magazines,BOOKS_AND_REFERENCE,Varies with device,Free,Teen,Books & Reference,Varies with device,155446,4.5,10000000,0
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.2M,Free,Everyone,Books & Reference,4.1 and up,418,4.5,100000,0
Book store,BOOKS_AND_REFERENCE,5.4M,Free,Teen,Books & Reference,4.0 and up,22486,4.4,1000000,0
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,Varies with device,Free,Everyone,Books & Reference,Varies with device,203130,4.5,10000000,0
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,2.8M,Free,Everyone,Books & Reference,4.0 and up,1435,4.6,500000,0
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,5.0M,Free,Teen,Books & Reference,4.0.3 and up,116507,4.8,1000000,0
Google Play Books,BOOKS_AND_REFERENCE,Varies with device,Free,Teen,Books & Reference,Varies with device,1433233,3.9,1000000000,0
AlReader -any text book reader,BOOKS_AND_REFERENCE,5.9M,Free,Everyone,Books & Reference,2.3 and up,90468,4.6,5000000,0
Offline English Dictionary,BOOKS_AND_REFERENCE,13M,Free,Everyone,Books & Reference,4.0.3 and up,860,4.2,100000,0
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,7.1M,Free,Everyone,Books & Reference,4.1 and up,363934,4.1,10000000,0
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,6.7M,Free,Everyone,Books & Reference,4.0.3 and up,967,4.7,500000,0
Spanish English Translator,BOOKS_AND_REFERENCE,Varies with device,Free,Teen,Books & Reference,Varies with device,87873,4.2,10000000,0
FamilySearch Tree,BOOKS_AND_REFERENCE,17M,Free,Everyone,Books & Reference,4.1 and up,17506,4.3,1000000,0
Cloud of Books,BOOKS_AND_REFERENCE,19M,Free,Everyone,Books & Reference,4.1 and up,1862,3.3,1000000,0
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,6.7M,Free,Everyone,Books & Reference,2.3 and up,2084,4.6,500000,0
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,21M,Free,Everyone,Books & Reference,4.1 and up,47303,4.8,1000000,0
NOOK App for NOOK Devices,BOOKS_AND_REFERENCE,Varies with device,Free,Everyone,Books & Reference,Varies with device,19080,4.7,500000,0
Anonymous caller detection,BOOKS_AND_REFERENCE,2.7M,Free,Everyone,Books & Reference,2.3 and up,161,NaN,10000,0
Ebook Reader,BOOKS_AND_REFERENCE,37M,Free,Everyone,Books & Reference,4.0 and up,85842,4.1,5000000,0
Litnet - E-books,BOOKS_AND_REFERENCE,15M,Free,Teen,Books & Reference,4.0 and up,7831,4.6,100000,0
Read books online,BOOKS_AND_REFERENCE,23M,Free,Mature 17+,Books & Reference,4.1 and up,91615,4.1,5000000,0
English to Urdu Dictionary,BOOKS_AND_REFERENCE,19M,Free,Everyone,Books & Reference,4.0.3 and up,4620,4.6,500000,0
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,23M,Free,Everyone,Books & Reference,3.0 and up,21336,4.7,1000000,0
English Persian Dictionary,BOOKS_AND_REFERENCE,73M,Free,Everyone,Books & Reference,4.0.3 and up,26875,4.5,500000,0
Flybook,BOOKS_AND_REFERENCE,4.9M,Free,Mature 17+,Books & Reference,2.1 and up,1778,3.9,500000,0
All Maths Formulas,BOOKS_AND_REFERENCE,6.8M,Free,Everyone,Books & Reference,4.4 and up,2709,4.4,1000000,0
Ancestry,BOOKS_AND_REFERENCE,Varies with device,Free,Everyone,Books & Reference,Varies with device,64513,4.3,5000000,0
HTC Help,BOOKS_AND_REFERENCE,Varies with device,Free,Everyone,Books & Reference,7.0 and up,8342,4.2,10000000,0
English translation from Bengali,BOOKS_AND_REFERENCE,2.9M,Free,Everyone,Books & Reference,4.0 and up,527,4.5,100000,0
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,3.5M,Free,Everyone,Books & Reference,4.0.3 and up,1322,4.4,100000,0
Free Book Reader,BOOKS_AND_REFERENCE,4.0M,Free,Everyone,Books & Reference,4.0.3 and up,1680,3.4,100000,0
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,21M,Free,Everyone,Books & Reference,3.0 and up,2739,4.9,50000,0
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,2.3M,Free,Everyone,Books & Reference,3.0 and up,1065,4.6,500000,0
Moon+ Reader,BOOKS_AND_REFERENCE,Varies with device,Free,Everyone,Books & Reference,Varies with device,233757,4.4,10000000,0
SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,7.2M,Free,Everyone,Books & Reference,6.0 and up,2,NaN,50000,0
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,10M,Free,Everyone,Books & Reference,4.0 and up,8788,4.4,1000000,0
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,6.1M,Free,Everyone,Books & Reference,4.2 and up,51269,4.4,1000000,0
All Language Translator Free,BOOKS_AND_REFERENCE,2.1M,Free,Everyone,Books & Reference,4.0.3 and up,30105,4.4,1000000,0
Azpen eReader,BOOKS_AND_REFERENCE,42M,Free,Everyone,Books & Reference,2.2 and up,156,3.5,500000,0
URBANO V 02 instruction manual,BOOKS_AND_REFERENCE,7.3M,Free,Everyone,Books & Reference,5.1 and up,114,NaN,100000,0
English Dictionary - Offline,BOOKS_AND_REFERENCE,30M,Free,Everyone 10+,Books & Reference,4.2 and up,341157,4.4,10000000,0
Visual Voicemail by MetroPCS,BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,16129,4.1,10000000,0
Indeed Job Search,BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,674730,4.3,50000000,0
Uber Driver,BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,1254730,4.4,10000000,0
ADP Mobile Solutions,BUSINESS,29M,Free,Everyone,Business,5.0 and up,85185,4.3,5000000,0
Snag - Jobs Hiring Now,BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,32584,4.3,1000000,0
Docs To Go™ Free Office Suite,BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,217730,4.1,50000000,0
Google My Business,BUSINESS,Varies with device,Free,Everyone,Business,4.4 and up,70991,4.4,5000000,0
OfficeSuite : Free Office + PDF Editor,BUSINESS,35M,Free,Everyone,Business,4.1 and up,1002861,4.3,100000000,0
USPS MOBILE®,BUSINESS,9.1M,Free,Everyone,Business,4.0.3 and up,16589,3.9,1000000,0
Job Search by ZipRecruiter,BUSINESS,25M,Free,Everyone,Business,5.0 and up,148945,4.8,1000000,0
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,3.9M,Free,Everyone,Business,4.1 and up,4458,4.5,500000,0
Google Primer,BUSINESS,18M,Free,Everyone,Business,4.1 and up,62272,4.4,10000000,0
Alba Heaven - Alvarez Job Portal Services,BUSINESS,12M,Free,Everyone,Business,4.0.3 and up,8941,4,5000000,0
SuperLivePro,BUSINESS,21M,Free,Everyone,Business,1.5 and up,46353,4.3,1000000,0
Facebook Pages Manager,BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,1279184,4,50000000,0
OfficeSuite Pro + PDF (Trial),BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,88073,4.2,10000000,0
My Space - Employment Center,BUSINESS,Varies with device,Free,Everyone,Business,4.3 and up,67000,4.5,1000000,0
Box,BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,159872,4.2,10000000,0
Polaris Office for LG,BUSINESS,55M,Free,Everyone,Business,4.1 and up,30847,4.2,5000000,0
Call Blocker,BUSINESS,3.2M,Free,Everyone,Business,4.0 and up,188841,4.6,5000000,0
Jobs in Alabama - Jobs in Alba,BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,11622,4.1,5000000,0
Square Point of Sale - POS,BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,95912,4.6,5000000,0
Plugin:AOT v5.0,BUSINESS,23k,Free,Everyone,Business,2.2 and up,4034,3.1,100000,0
Kariyer,BUSINESS,16M,Free,Everyone,Business,4.1 and up,45964,3.9,1000000,0
SEEK Job Search,BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,14955,4.3,1000000,0
Become a Job - Find a job or advertise,BUSINESS,14M,Free,Everyone,Business,4.1 and up,6903,4.1,1000000,0
ZOOM Cloud Meetings,BUSINESS,37M,Free,Everyone,Business,4.0 and up,31614,4.4,10000000,0
Easy Installer - Apps On SD,BUSINESS,Varies with device,Free,Everyone,Business,Varies with device,23055,4.1,5000000,0
