index,title,channel_title,publishTime,published_day_of_week,publish_country,duration_seconds,views,likes,dislikes,comment,impression
69,John Lewis Christmas Ad 2017 - #MozTheMonster,John Lewis,8/10/2019,Friday,US,893,7224515,55681,10247,9479,16612772.4
70,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,2/28/2019,Thursday,IN,840,33523622,1634124,21082,85067,78163676.68
71,Top 10 iPhone Apps for Productivity & Content Creation,Sara Dietschy,12/22/2017,Saturday,IN,501,52591,2233,187,255,191599.476
72,Reacting to Running a Half Marathon | MEGANBYTES EP. 101,MeganBatoon,1/31/2019,Friday,IN,1066,75822,2978,147,243,233607.53
73,"Justice League Reactions, Should Disney Buy Netflix - The John Campea Show",John Campea,9/17/2020,Saturday,IN,382,43715,1550,109,1031,91753.4135
74,Foster The People - Sit Next to Me (Official Video),fosterthepeopleVEVO,6/25/2020,Friday,IN,897,303956,18603,585,1745,968950.992
75,Rosie OÃ¢â‚¬â„¢Donnell On Donald TrumpÃ¢â‚¬â„¢s Hostility Toward Her | WWHL,Watch What Happens Live with Andy Cohen,5/18/2019,Friday,IN,1016,238643,2429,5381,2325,945503.58
76,Mayo Clinic's first face transplant patient meets donorÃ¢â‚¬â„¢s family,Mayo Clinic,11/23/2019,Friday,US,703,237307,1896,74,260,540609.044
77,Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video),Jason Derulo,6/12/2023,Friday,IN,904,1282413,37669,1732,1691,2720767.04
78,Jason Momoa & Lisa Bonet: Love at First Sight,The Late Late Show with James Corden,1/1/2023,Friday,US,391,1497519,15504,353,1084,2709611.38
79,Howard Stern: George Takei Talks About Harvey Weinstein and Sexually Assault,cocheusadoooo,12/7/2018,Tuesday,US,865,148226,355,47,178,329891.807
80,A VERY #EXTRA EBAY SHOPPING HAUL!,Amber Scholl,6/1/2023,Saturday,US,968,484185,23296,1184,1858,1046517.459
81,EXTREME GOLDEN TAN TRANSFORMATION,John Maclean,12/15/2020,Friday,IN,858,300617,8133,2693,2911,1237339.6
82,Inside the Cheese-Aging Caves 30 Feet Under Brooklyn | I Got a Guy | Bon AppÃƒÂ©tit,Bon AppÃƒÂ©tit,2/10/2019,Friday,US,978,92523,2323,40,134,184861.008
83,Some NFL players call for an end to Thursday night football after 8 players were injured last week,ABC News,2/1/2020,Sunday,US,1008,7524,67,19,56,22915.0944
84,ICE PRIMER? DOES IT WORK?!,mayratouchofglam,9/21/2018,Saturday,IN,846,103927,3571,278,399,219493.824
85,Mark Ruffalo Reads Hilarious Thirst Tweets,BuzzFeed Celeb,10/4/2018,Saturday,US,923,177707,6271,88,275,498468.19
86,"Game Night Official Trailer #1 (2018) Rachel McAdams, Jason Bateman Comedy Movie HD",Zero Media,12/19/2019,Thursday,IN,1023,1751064,16430,945,1231,6030313.56
87,Little Big Town with Jimmy Webb - Wichita Lineman (Live from the CMA Awards),CMAVEVO,6/6/2020,Thursday,US,836,46746,439,66,55,96623.982
88,Alan Walker - All Falls Down (Behind The Scenes),Alan Walker,8/17/2019,Saturday,IN,917,746092,34839,537,2541,2639375.22
89,FANTASY (feat. Amber Liu) by SUPERFRUIT,SUPERFRUIT,3/13/2020,Friday,IN,1121,836830,82320,1279,7998,2326136.75
90,2017 Champions Showdown: Day 3,Saint Louis Chess Club,5/30/2019,Sunday,IN,907,67429,438,23,23,270781.392
91,Taylor Swift - Ã¢â‚¬Å“New YearÃ¢â‚¬â„¢s DayÃ¢â‚¬Â Fan Performance,ABC Television Network,4/20/2019,Friday,IN,909,2237404,72593,1830,3501,5950376.1
92,Animal Adventure Park Giraffe Cam,Animal Adventure Park,3/29/2019,Sunday,IN,1109,45455,2282,35,17,114137.505
93,How To Dry a Shirt in 30 Seconds,HowToBasic,8/29/2019,Thursday,IN,999,2063667,98804,11682,11443,7270299.4
94,Everything Wrong With Baby Driver In 14 Minutes Or Less,CinemaSins,2/8/2020,Thursday,IN,923,2736733,58967,3492,7915,8538606.7
95,Kimbra - Top of the World (Official Music Video),kimbramusic,9/6/2018,Friday,US,613,165698,8599,361,930,308496.515
96,Camila Cabello COMPLETELY NAILS 'Finish The Lyric',Capital FM,9/11/2018,Friday,US,982,836544,40195,373,976,2580487.8
97,Edna's registered owner thought she was dead for 2 years!!!,Hope For Paws - Official Rescue Channel,12/28/2019,Friday,US,155,284666,16396,81,949,566542.316
98,When Someone Has A Crush on You | Lilly Singh,IISuperwomanII,6/1/2019,Thursday,US,886,3371669,202676,3394,20086,6782449.66
99,Neck Deep - Parachute (Official Music Video),Hopeless Records,5/14/2015,Friday,IN,204,195685,14338,171,1070,657795.195
100,Idiot's Guide to Japanese Squat Toilets,Rachel and Jun,5/30/2020,Thursday,IN,952,1098897,43875,1326,4702,2646144.2
101,Sam Smith surprises brides at their wedding! (At The BBC),BBC Music,1/13/2018,Thursday,IN,640,893462,22326,833,943,2442368.24
102,Mark Wahlberg's Kids Use Him for His Celeb Connections,Late Night with Seth Meyers,11/30/2018,Friday,IN,1088,225286,1731,193,206,475668.888
103,H&M Holiday 2017 starring Nicki Minaj Ã¢â‚¬â€œ official teaser,H&M,2/4/2019,Thursday,IN,793,264793,3283,853,0,915760.085
104,Camila Cabello - Havana (Vertical Video) ft. Young Thug,CamilaCabelloVEVO,11/24/2023,Friday,IN,1542,5476737,286268,4083,12254,20097434.28
105,FIRST TIME IM DOING THIS! TALKS WITH LIZA.,Liza Koshy,2/10/2019,Friday,US,978,3578502,307435,2573,12248,10912642.17
106,"Owen Wilson on Meeting Julia Roberts, and Tandem Biking",TheEllenShow,8/2/2016,Friday,IN,335,304926,3305,130,275,977531.716
107,Surprise After Surprise | October Vlog,clothesencounters,6/1/2018,Friday,IN,634,247319,10138,153,639,653169.479
108,THE SHAPE OF WATER - Final Trailer,FoxSearchlight,1/21/2022,Thursday,IN,52,296434,3327,142,377,1080264.728
109,Luke Bryan - O Holy Night (Audio),LukeBryanVEVO,12/2/2018,Friday,US,829,125962,5048,139,369,222423.656
110,Niall Horan - Too Much To Ask (Acoustic),NiallHoranVEVO,1/9/2023,Friday,IN,854,419341,53572,168,3083,1205815.005
111,Empire Of The Sun - Way To Go,empireofthesunvevo,3/20/2018,Friday,US,431,138988,7999,84,612,433281.213
112,NF - Let You Down,NFVEVO,11/19/2015,Thursday,IN,187,1774018,88417,1002,7686,6204982.68
113,Google Pixelbook: $1000 of Weird!,Marques Brownlee,6/9/2018,Thursday,US,926,1575525,52829,1524,5864,2849021.59
114,Bastille - World Gone Mad (from Bright: The Album) [Official Music Video],Atlantic Records,3/25/2022,Thursday,IN,363,626688,25115,499,1392,2233515.6
115,SECRETS REVEALED! HOW I LAY MY LACE WIGS! | AALIYAHJAY,MsAaliyahJay,8/5/2015,Friday,US,199,219030,14303,398,1099,401087.736
116,Typical audience reaction to a bass solo...,Danny Sapko,12/10/2023,Thursday,US,662,493662,7693,181,388,1054659.475
117,Meryl Streep Meets Anna Wintour at Vogue,Vogue,3/21/2020,Thursday,US,899,1017803,25122,628,1504,1877235.62
118,I Trained To Become Batman Ã°Å¸Â¦â€¡ (Justice League),Michelle Khare,5/2/2018,Thursday,US,822,139955,4417,217,457,341770.11
119,"Russian Bots and Trolls | November 8, 2017 Act 2 | Full Frontal on TBS",Full Frontal with Samantha Bee,11/14/2020,Thursday,IN,911,362009,5505,2356,1264,815968.3
120,The Ultimate Red Lip Look | Nicole Guerriero,Nicole Guerriero,4/11/2020,Friday,US,719,294387,15247,385,976,661487.61
121,Sean Astin Knew Nothing About 'Lord Of The Rings' Once Upon A Time,The Late Show with Stephen Colbert,2/1/2020,Thursday,US,1008,844653,11616,313,1518,2762015.31
122,Mean Tweets Ã¢â‚¬â€œ Country Music Edition #3,Jimmy Kimmel Live,9/19/2020,Thursday,US,1031,1315873,9312,584,769,2287513.92
123,Could Anastasia Become A Disney Princess?,SuperCarlinBrothers,8/5/2018,Thursday,US,1382,188003,9091,135,2814,392832.3
124,Sia - Snowman,SiaVEVO,8/15/2018,Thursday,IN,1187,1624771,84426,1130,5981,3383423.24
125,Tesla's biggest problem is one nobody saw coming,Business Insider,4/10/2023,Friday,IN,849,125970,935,507,262,395205.681
126,2CELLOS - Cinema Paradiso [OFFICIAL VIDEO],2CELLOS,6/28/2018,Friday,IN,351,205869,11198,120,446,830990.205
127,Sam Smith - The Thrill of It All ALBUM REVIEW,theneedledrop,8/28/2018,Friday,IN,971,98422,2926,106,798,203290.695
128,Birthdays - Simon's Cat | GUIDE TO,Simon's Cat,5/30/2019,Thursday,US,907,426078,19323,245,945,934133.364
129,Andy Grammer - The Good Parts (Official Audio),Andy Grammer,10/29/2020,Thursday,US,694,33315,1365,24,91,86052.645
130,Remy Ma - Wake Me Up (Audio) ft. Lil' Kim,RemyMaVEVO,9/13/2019,Wednesday,US,872,1231518,32648,6221,9288,2741358.9
131,L.A. Noire - Nintendo Switch Trailer,Nintendo,9/21/2018,Thursday,US,846,154872,7683,164,1734,389425.644
132,Everything I Wore This Week! Outfit Diary 1,Dina Tokio,4/4/2016,Friday,US,145,72626,3652,120,219,187280.709
133,"President Bill Clinton On Dictators, Democracy, & Why We Need Immigrants More Than Ever",Team Coco,10/9/2018,Thursday,US,878,366180,4364,4448,1997,781428.12
134,"Pitbull, Stereotypes - Jungle (Lyric Video) ft. E-40, Abraham Mateo",PitbullVEVO,8/11/2015,Friday,IN,184,264511,11736,532,743,886852.428
135,A Day in The Life of David Letterman,Late Show with David Letterman,10/4/2018,Thursday,US,923,192609,1345,24,126,313471.2
136,Alicia Keys - When You Were Gone,Alicia Keys,9/11/2018,Thursday,IN,982,95944,1354,181,117,259701.246
137,Elbow - Golden Slumbers (John Lewis Advert 2017),ElbowVEVO,5/15/2019,Friday,IN,942,154494,2163,147,211,586922.706
138,MDNA SKIN: Express Yourself,MDNA SKIN,8/2/2019,Thursday,IN,919,53321,443,131,106,128524.9384
139,Live in the now!,poofables,12/18/2016,Sunday,IN,612,95085,909,52,193,247259.1
140,Sigrid - Strangers (Lyric Video),SigridVEVO,7/23/2020,Friday,US,964,91776,4604,46,357,271748.715
141,MÃƒËœ - When I Was Young (Official Video),MOMOMOYOUTHVEVO,1/12/2022,Thursday,US,126,764716,35765,483,1159,1525608
142,The Script - Arms Open (Acoustic) [Audio],TheScriptVEVO,8/2/2015,Friday,IN,138,135337,7158,89,318,300015.048
143,Three meals that cost me $1.50 each,Brothers Green Eats,10/23/2018,Thursday,US,723,77630,1991,83,208,196310.744
144,Dark | Official Trailer [HD] | Netflix,Netflix,6/23/2018,Thursday,US,750,378750,5642,146,675,806964.75
145,Where is TOKYO'S GREATEST View?,Abroad in Japan,5/31/2023,Thursday,IN,264,151709,9210,71,1103,378938.754
146,"Dropping And CATCHING A Paper Airplane At 2,000 Feet!",Tucker Gott,7/10/2023,Thursday,IN,694,175852,15909,200,852,622129.179
147,Improvising in the style of different classical composers | Practice Notes 34,Nahre Sol,7/24/2023,Friday,IN,645,5149,242,0,54,12326.706
148,Thirty Seconds To Mars - Walk On Water (Official Music Video),ThirtySecondsToMarsVEVO,3/16/2023,Wednesday,US,250,1905487,65854,2442,4490,4159296.51
149,Harry Styles - Kiwi,HarryStylesVEVO,10/4/2020,Wednesday,US,128,9632678,810895,16139,59473,18584325.6
150,I Miss the Old Taylor,Wong Fu Productions,5/2/2017,Wednesday,US,427,476389,16106,950,2077,757458.51
151,Keith Urban - Female (Official Audio),Keith Urban,8/5/2018,Wednesday,IN,1382,754558,11985,1356,1757,2030515.44
152,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),Maroon5VEVO,9/26/2020,Thursday,US,805,762616,20159,336,899,1325426.3
153,Harry Styles canta Sign Of The Times a X Factor Italia - Live Show 3,X Factor Italia,7/27/2018,Thursday,US,630,199429,10175,66,539,623095.989
154,I Picked My Girlfriend's Outfit Blindfolded,Tyler Williams,12/9/2016,Thursday,US,604,691229,31892,197,1404,2148339.9
155,"The Oak Beams of New College, Oxford",Stewart Brand,11/2/2018,Sunday,IN,1187,6412,49,0,2,19720.7472
156,THE MOMENTS BETWEEN THE MONTAGE | Chris & Jack,Chris and Jack,9/1/2018,Thursday,IN,775,108618,4989,58,274,261986.616
157,What Are Diminutives Ã¢â‚¬â€œ and Why We Like Them,The School of Life,4/30/2018,Thursday,US,623,79306,3809,127,670,222326.419
158,KUWTK | Scott Gets Upset Over Being Uninvited to Khloe K.'s Party | E!,E! Entertainment,6/24/2017,Wednesday,US,158,812007,5894,951,851,2415395.53
159,"Chapter 28: I Love My Baby But, I Miss My Dad",Whitney Port,1/18/2019,Thursday,IN,917,55398,1170,22,336,143996.077
160,Huffy Metaloid Bicycle Commercial 1997,90s Commercials,4/13/2018,Friday,US,912,773,2,0,0,2335.233
161,"O.T. Genasis Talks About His Come Up, Opens Up About His Son's Autism + More",Breakfast Club Power 105.1 FM,7/14/2018,Wednesday,IN,1322,581288,5075,725,1780,1576801.5
162,Enter Shikari - The Sights (Official Video),Enter Shikari,11/22/2018,Thursday,IN,891,99619,3959,158,335,299813.316
163,Caterham Chris Hoy 60 Second Donut Challenge,Caterham Cars,3/8/2018,Thursday,US,711,4850,22,1,1,13337.015
164,Last Friday Night - Katy Perry ('40s Jazz Vibes Style Cover) ft. Olivia Kuper Harris,PostmodernJukebox,8/24/2018,Thursday,IN,911,226088,10844,302,555,499880.568
165,P!nk - Barbies (Audio),PinkVEVO,5/25/2018,Wednesday,IN,734,651036,23338,442,1101,2217168.36
166,Tamar Braxton Talks Divorce In First Interview,Tamar Chronicles,12/8/2018,Wednesday,IN,881,451356,3454,284,623,1420146.96
167,A Tropical Island with 500 CATS!,Kitten Lady,4/26/2020,Thursday,IN,1680,46571,4250,16,408,147746.565
168,Fire breathing full twist backflips in one minute - Guinness World Records Day,Guinness World Records,2/13/2023,Friday,US,719,28539,681,25,45,55964.979
169,Basmati Blues - Trailer,Blockbuster,12/18/2016,Friday,US,612,12609,40,79,17,27371.6172
170,Train - Have Yourself a Merry Little Christmas,TrainVEVO,2/17/2018,Thursday,IN,656,30021,569,42,44,111458.9667
171,FACE SURGERY WITH MAKEUP,Christen Dominique,12/2/2018,Thursday,IN,829,471266,23634,460,1714,1237544.49
172,BEAUTY GURU GETS A MAKEOVER... FINALE,James Charles,4/4/2019,Wednesday,US,854,1073134,47793,1886,5358,2375919
173,"James Harden Triple-Double 2017.11.09 vs Cavs - 35 Pts, 13 Asts, 11 Rebs, 5 Stls, 2 GOOD!",FreeDawkins,6/9/2018,Friday,IN,926,18573,420,10,236,52513.3002
174,Could an Earthquake Destroy USA - Biggest Earthquakes Ever,The Infographics Show,4/6/2019,Wednesday,IN,932,250193,5748,332,1197,682151.281
175,Sphaera - demonstrating interaction,Jenny Hanell,11/28/2016,Saturday,US,326,1827,3,0,2,5914.5471
176,GoPro Gets Melted by Lava and Survives,PetaPixel,3/17/2018,Tuesday,US,552,2457408,2707,200,209,4458720.6
177,Dog reunites with her family,RM Videos,3/3/2019,Thursday,US,721,51143,258,5,10,111021.192
178,Brian Justin Crum - Wild Side,BrianJustinCrum,12/1/2017,Thursday,US,729,27010,1666,36,150,56115.976
179,Chocolate Orange Autumn Cupcakes | Cupcake Jemma,CupcakeJemma,12/25/2018,Thursday,IN,914,122669,5723,55,263,475600.021
180,I love the Price is Right! Wooo! -Kevin,Anaki Abo,8/15/2018,Tuesday,IN,1187,358597,1211,72,593,847364.711
181,Katy Perry - Swish Swish (Behind the Scenes with Just Dance),Katy Perry,5/7/2020,Thursday,IN,992,56012,6243,106,414,210588.264
182,I'm With Her - See You Around [Official Audio],I'm With Her,12/8/2017,Thursday,US,604,6148,121,3,19,15882.1284
183,My Every Day Autumn Makeup | Zoella,Zoella,4/25/2018,Wednesday,US,615,1390440,86207,1775,710,2808132.84
184,Pitcher Roy Halladay Dies After Crashing ICON A5 Plane He Promoted in October (File),Storyful News,3/12/2019,Tuesday,US,1584,244532,633,174,765,525914.951
185,Selena Gomez Singing Wolves and It Ain't Me FULL Instagram Live | Acoustic,Tu Fan,11/4/2018,Wednesday,IN,787,82087,998,93,289,200817.609
186,Girlfriend Gives Me A Surprise Makeover!? | Hannah Hart,MyHarto,1/28/2018,Thursday,IN,1106,359120,15130,223,1143,795091.68
187,Obama arrives for jury duty at Daley Center,Chicago Sun-Times,8/23/2017,Wednesday,US,769,33768,426,88,550,100662.408
188,Phillip Phillips - Magnetic (Audio),PhilPhillipsVEVO,12/23/2018,Thursday,US,884,38068,2195,28,154,87168.1064
189,TOTAL FAIL! NATASHA DENONA HOLIDAY WTF,Tati,12/16/2018,Wednesday,IN,915,1277364,56867,2148,25326,2897062.2
190,Ozuna - MÃƒÂºsica Sin Fronteras (A YouTube Documentary),Ozuna,2/22/2018,Wednesday,IN,610,1498866,67227,1473,4645,5726417.85
191,BOYFRIEND DOES MY MAKEUP | Madelaine Petsch,Madelaine Petsch,4/4/2016,Wednesday,US,145,280065,20289,38,939,860919.81
192,Apple Clips sample,Steve Kovach,9/28/2018,Thursday,US,1052,2259,0,0,0,4611.0708
193,Stephen A. Smith slams the Philadelphia 76ers for its 'Trust The Process' | First Take | ESPN,ESPN,11/19/2015,Wednesday,IN,187,470191,4037,430,1553,1707498.9
194,"STEPH CURRY and OMRI CASSPI, postgame GSW (9-3) vs MIN: peaking?, turnovers, Casspi role",LetsGoWarriors,9/19/2018,Thursday,US,1132,16305,147,13,47,32699.6775
195,World's first self-driving shuttle crashes on first day of use,KSNV News 3 Las Vegas,5/14/2015,Wednesday,IN,204,169511,57,59,79,437457.077
196,How To Do Thanksgiving Makeup That Has Nothing To Do With The 566 Federally Recognized Tribes,Sailor J,4/23/2018,Wednesday,IN,680,160477,8388,691,950,359131.52
197,Inside Keanu Reeves' Custom Motorcycle Shop | WIRED,WIRED,4/4/2015,Wednesday,IN,424,704363,16352,224,841,2192117.97
198,Kids Describe America to Koji the Illustrator,HiHo Kids,5/31/2023,Wednesday,IN,264,130778,5684,53,737,419731.991
199,Impossible Active Audio Noise Cancelling by Muzo,ElectroBOOM,1/16/2019,Wednesday,IN,791,560569,29990,341,1788,1342002.2
200,Brent Pella - Why You Shouldn't Fly on Spirit Airlines,Brent Pella,10/26/2018,Tuesday,IN,931,462490,14132,795,666,1678561.62
