Date,Month,Region,State,Product Category,Quantity Sold
1/21/2023,January,South,Tamil Nadu,Lifestyle,20
1/10/2023,January,South,Tamil Nadu,Lifestyle,20
1/15/2023,January,South,Tamil Nadu,Lifestyle,20
1/20/2023,January,South,Tamil Nadu,Adventure,40
1/25/2023,January,South,Kerala,Professional,60
1/13/2023,January,South,Kerala,Professional,40
1/14/2023,January,South,Kerala,Professional,10
1/20/2023,January,South,Kerala,Professional,40
1/23/2023,January,South,Kerala,Professional,30
1/2/2023,January,South,Kerala,Professional,50
1/22/2023,January,South,Kerala,Professional,40
1/12/2023,January,South,Kerala,Lifestyle,50
1/9/2023,January,South,Kerala,Lifestyle,20
1/7/2023,January,South,Kerala,Lifestyle,60
1/27/2023,January,South,Kerala,Lifestyle,60
1/30/2023,January,South,Kerala,Adventure,30
1/29/2023,January,West,Maharashtra,Professional,10
1/27/2023,January,West,Maharashtra,Professional,50
1/2/2023,January,West,Maharashtra,Professional,60
1/11/2023,January,West,Maharashtra,Professional,50
1/13/2023,January,West,Maharashtra,Lifestyle,50
1/18/2023,January,West,Maharashtra,Lifestyle,50
1/28/2023,January,West,Maharashtra,Lifestyle,60
1/15/2023,January,West,Maharashtra,Lifestyle,10
1/9/2023,January,West,Maharashtra,Adventure,20
1/20/2023,January,West,Maharashtra,Adventure,30
1/14/2023,January,West,Gujarat,Professional,10
1/20/2023,January,West,Gujarat,Professional,10
1/29/2023,January,West,Gujarat,Professional,60
1/14/2023,January,West,Gujarat,Professional,20
1/20/2023,January,West,Gujarat,Professional,20
1/25/2023,January,West,Gujarat,Professional,50
1/16/2023,January,West,Gujarat,Lifestyle,50
1/3/2023,January,West,Gujarat,Lifestyle,50
1/29/2023,January,West,Gujarat,Lifestyle,60
1/15/2023,January,West,Gujarat,Lifestyle,10
1/29/2023,January,West,Gujarat,Lifestyle,10
1/1/2023,January,West,Gujarat,Lifestyle,30
1/24/2023,January,West,Gujarat,Adventure,50
1/16/2023,January,West,Gujarat,Adventure,30
1/18/2023,January,West,Rajasthan,Professional,60
1/21/2023,January,West,Rajasthan,Lifestyle,50
1/11/2023,January,West,Rajasthan,Lifestyle,40
1/6/2023,January,West,Rajasthan,Lifestyle,30
1/28/2023,January,West,Rajasthan,Lifestyle,60
1/22/2023,January,West,Rajasthan,Lifestyle,30
1/11/2023,January,West,Rajasthan,Adventure,20
1/26/2023,January,West,Rajasthan,Adventure,40
1/20/2023,January,West,Rajasthan,Adventure,10
1/28/2023,January,West,Rajasthan,Adventure,10
1/10/2023,January,West,Rajasthan,Adventure,40
1/18/2023,January,West,Rajasthan,Adventure,50
1/1/2023,January,West,Rajasthan,Adventure,30
2/28/2023,February,North,Delhi,Professional,50
2/25/2023,February,North,Delhi,Professional,10
2/28/2023,February,North,Delhi,Professional,30
2/2/2023,February,North,Delhi,Lifestyle,60
2/8/2023,February,North,Delhi,Adventure,10
2/28/2023,February,North,Delhi,Adventure,10
2/12/2023,February,North,Delhi,Adventure,10
2/9/2023,February,North,Delhi,Adventure,40
2/14/2023,February,North,Delhi,Adventure,10
2/23/2023,February,North,Delhi,Adventure,40
2/5/2023,February,North,Delhi,Adventure,30
2/7/2023,February,North,Punjab,Professional,30
2/5/2023,February,North,Punjab,Professional,60
2/4/2023,February,North,Punjab,Professional,10
2/5/2023,February,North,Punjab,Lifestyle,30
2/21/2023,February,North,Punjab,Adventure,30
2/4/2023,February,North,Punjab,Adventure,60
2/25/2023,February,North,Punjab,Adventure,40
2/15/2023,February,North,Punjab,Adventure,60
2/4/2023,February,North,Punjab,Adventure,20
2/13/2023,February,North,Haryana,Professional,20
2/13/2023,February,North,Haryana,Professional,60
2/3/2023,February,North,Haryana,Professional,30
2/11/2023,February,North,Haryana,Professional,30
2/4/2023,February,North,Haryana,Professional,10
2/20/2023,February,North,Haryana,Professional,50
2/15/2023,February,North,Haryana,Professional,30
2/28/2023,February,North,Haryana,Lifestyle,40
2/6/2023,February,North,Haryana,Lifestyle,10
2/19/2023,February,North,Haryana,Adventure,10
2/28/2023,February,North,Haryana,Adventure,40
2/25/2023,February,North,Haryana,Adventure,30
2/28/2023,February,South,Karnataka,Professional,40
2/22/2023,February,South,Karnataka,Lifestyle,20
2/18/2023,February,South,Karnataka,Lifestyle,60
2/7/2023,February,South,Karnataka,Lifestyle,20
2/14/2023,February,South,Karnataka,Lifestyle,60
2/4/2023,February,South,Karnataka,Lifestyle,50
2/2/2023,February,South,Karnataka,Adventure,20
2/16/2023,February,South,Tamil Nadu,Professional,40
2/10/2023,February,South,Tamil Nadu,Professional,50
2/9/2023,February,South,Tamil Nadu,Professional,50
2/11/2023,February,South,Tamil Nadu,Professional,10
2/19/2023,February,South,Tamil Nadu,Professional,40
2/7/2023,February,South,Tamil Nadu,Professional,50
2/25/2023,February,South,Tamil Nadu,Lifestyle,10
2/28/2023,February,South,Tamil Nadu,Adventure,30
2/27/2023,February,South,Tamil Nadu,Adventure,40
2/4/2023,February,South,Kerala,Professional,40
2/11/2023,February,South,Kerala,Professional,50
2/24/2023,February,South,Kerala,Professional,20
2/4/2023,February,South,Kerala,Professional,20
2/12/2023,February,South,Kerala,Lifestyle,20
2/17/2023,February,South,Kerala,Lifestyle,50
2/28/2023,February,South,Kerala,Adventure,20
2/17/2023,February,South,Kerala,Adventure,20
2/28/2023,February,South,Kerala,Adventure,50
2/22/2023,February,South,Kerala,Adventure,10
2/21/2023,February,South,Kerala,Adventure,60
2/13/2023,February,West,Maharashtra,Professional,10
2/28/2023,February,West,Maharashtra,Professional,40
2/7/2023,February,West,Maharashtra,Professional,10
2/18/2023,February,West,Maharashtra,Professional,20
2/18/2023,February,West,Maharashtra,Lifestyle,40
2/5/2023,February,West,Maharashtra,Lifestyle,10
2/28/2023,February,West,Maharashtra,Lifestyle,40
2/19/2023,February,West,Maharashtra,Lifestyle,50
2/4/2023,February,West,Maharashtra,Lifestyle,20
2/17/2023,February,West,Maharashtra,Lifestyle,50
2/14/2023,February,West,Maharashtra,Lifestyle,50
2/3/2023,February,West,Maharashtra,Adventure,60
2/28/2023,February,West,Gujarat,Professional,20
2/26/2023,February,West,Gujarat,Professional,40
2/18/2023,February,West,Gujarat,Professional,30
2/5/2023,February,West,Gujarat,Professional,20
2/1/2023,February,West,Gujarat,Lifestyle,10
2/17/2023,February,West,Gujarat,Lifestyle,40
2/15/2023,February,West,Gujarat,Adventure,50
2/8/2023,February,West,Gujarat,Adventure,60
2/10/2023,February,West,Rajasthan,Professional,50
2/13/2023,February,West,Rajasthan,Professional,30
2/10/2023,February,West,Rajasthan,Professional,20
2/18/2023,February,West,Rajasthan,Professional,30
2/18/2023,February,West,Rajasthan,Professional,40
2/10/2023,February,West,Rajasthan,Lifestyle,10
2/27/2023,February,West,Rajasthan,Lifestyle,30
2/22/2023,February,West,Rajasthan,Adventure,10
2/14/2023,February,West,Rajasthan,Adventure,10
2/2/2023,February,West,Rajasthan,Adventure,30
2/8/2023,February,West,Rajasthan,Adventure,50
3/27/2023,March,North,Delhi,Professional,10
3/27/2023,March,North,Delhi,Professional,30
3/25/2023,March,North,Delhi,Professional,50
3/17/2023,March,North,Delhi,Professional,10
3/1/2023,March,North,Delhi,Professional,60
3/26/2023,March,North,Delhi,Professional,20
3/25/2023,March,North,Delhi,Lifestyle,40
3/8/2023,March,North,Delhi,Lifestyle,10
3/20/2023,March,North,Delhi,Adventure,10
3/7/2023,March,North,Delhi,Adventure,60
3/29/2023,March,North,Delhi,Adventure,30
3/25/2023,March,North,Delhi,Adventure,20
3/29/2023,March,North,Delhi,Adventure,50
3/4/2023,March,North,Punjab,Professional,60
3/7/2023,March,North,Punjab,Professional,10
3/17/2023,March,North,Punjab,Professional,40
3/27/2023,March,North,Punjab,Professional,60
3/20/2023,March,North,Punjab,Professional,20
3/30/2023,March,North,Punjab,Professional,60
3/20/2023,March,North,Punjab,Lifestyle,40
3/12/2023,March,North,Punjab,Lifestyle,50
3/20/2023,March,North,Punjab,Lifestyle,40
3/27/2023,March,North,Punjab,Lifestyle,30
3/30/2023,March,North,Punjab,Adventure,50
3/29/2023,March,North,Punjab,Adventure,40
3/27/2023,March,North,Punjab,Adventure,40
3/14/2023,March,North,Punjab,Adventure,30
3/5/2023,March,North,Punjab,Adventure,10
3/2/2023,March,North,Haryana,Professional,30
3/4/2023,March,North,Haryana,Lifestyle,10
3/13/2023,March,North,Haryana,Lifestyle,10
3/8/2023,March,North,Haryana,Lifestyle,60
3/28/2023,March,North,Haryana,Lifestyle,10
3/8/2023,March,North,Haryana,Lifestyle,20
3/28/2023,March,North,Haryana,Adventure,30
3/16/2023,March,North,Haryana,Adventure,50
3/9/2023,March,North,Haryana,Adventure,30
3/12/2023,March,North,Haryana,Adventure,60
3/12/2023,March,North,Haryana,Adventure,60
3/1/2023,March,North,Haryana,Adventure,60
3/19/2023,March,South,Karnataka,Professional,40
3/25/2023,March,South,Karnataka,Lifestyle,50
3/21/2023,March,South,Karnataka,Lifestyle,30
3/4/2023,March,South,Karnataka,Lifestyle,10
3/23/2023,March,South,Karnataka,Lifestyle,50
3/30/2023,March,South,Karnataka,Lifestyle,30
3/26/2023,March,South,Karnataka,Lifestyle,10
3/19/2023,March,South,Karnataka,Lifestyle,60
3/30/2023,March,South,Karnataka,Adventure,30
3/26/2023,March,South,Karnataka,Adventure,40
3/6/2023,March,South,Karnataka,Adventure,50
3/28/2023,March,South,Karnataka,Adventure,50
3/8/2023,March,South,Karnataka,Adventure,50
3/12/2023,March,South,Tamil Nadu,Professional,20
3/13/2023,March,South,Tamil Nadu,Professional,20
3/14/2023,March,South,Tamil Nadu,Lifestyle,60
3/8/2023,March,South,Tamil Nadu,Adventure,10
3/28/2023,March,South,Tamil Nadu,Adventure,60
3/16/2023,March,South,Tamil Nadu,Adventure,60
3/27/2023,March,South,Kerala,Professional,40
3/23/2023,March,South,Kerala,Professional,10
3/5/2023,March,South,Kerala,Professional,10
3/4/2023,March,South,Kerala,Lifestyle,10
3/30/2023,March,South,Kerala,Lifestyle,10
3/9/2023,March,South,Kerala,Lifestyle,40
3/25/2023,March,South,Kerala,Lifestyle,50
3/8/2023,March,South,Kerala,Lifestyle,10
3/2/2023,March,South,Kerala,Lifestyle,10
3/23/2023,March,South,Kerala,Adventure,50
3/28/2023,March,South,Kerala,Adventure,60
3/28/2023,March,South,Kerala,Adventure,50
3/6/2023,March,South,Kerala,Adventure,20
3/13/2023,March,West,Maharashtra,Professional,10
3/27/2023,March,West,Maharashtra,Lifestyle,20
3/3/2023,March,West,Maharashtra,Lifestyle,30
3/2/2023,March,West,Maharashtra,Lifestyle,10
3/24/2023,March,West,Maharashtra,Lifestyle,40
3/16/2023,March,West,Maharashtra,Lifestyle,30
3/16/2023,March,West,Maharashtra,Adventure,20
3/12/2023,March,West,Maharashtra,Adventure,40
3/22/2023,March,West,Maharashtra,Adventure,30
3/5/2023,March,West,Maharashtra,Adventure,20
3/8/2023,March,West,Gujarat,Professional,40
3/8/2023,March,West,Gujarat,Professional,30
3/22/2023,March,West,Gujarat,Professional,30
3/15/2023,March,West,Gujarat,Professional,10
3/27/2023,March,West,Gujarat,Professional,20
3/21/2023,March,West,Gujarat,Professional,20
3/16/2023,March,West,Gujarat,Professional,50
3/22/2023,March,West,Gujarat,Lifestyle,30
3/5/2023,March,West,Gujarat,Lifestyle,20
3/24/2023,March,West,Gujarat,Lifestyle,50
3/1/2023,March,West,Gujarat,Adventure,50
3/11/2023,March,West,Gujarat,Adventure,30
3/23/2023,March,West,Rajasthan,Professional,60
3/4/2023,March,West,Rajasthan,Professional,20
3/6/2023,March,West,Rajasthan,Professional,40
3/6/2023,March,West,Rajasthan,Lifestyle,40
3/21/2023,March,West,Rajasthan,Lifestyle,50
3/27/2023,March,West,Rajasthan,Lifestyle,30
3/9/2023,March,West,Rajasthan,Lifestyle,60
3/4/2023,March,West,Rajasthan,Adventure,20
4/21/2023,April,North,Delhi,Professional,60
4/26/2023,April,North,Delhi,Lifestyle,60
4/4/2023,April,North,Delhi,Adventure,40
4/4/2023,April,North,Delhi,Adventure,50
4/22/2023,April,North,Delhi,Adventure,40
4/8/2023,April,North,Punjab,Professional,60
4/25/2023,April,North,Punjab,Lifestyle,20
4/10/2023,April,North,Punjab,Lifestyle,10
4/21/2023,April,North,Punjab,Lifestyle,60
4/14/2023,April,North,Punjab,Lifestyle,40
4/1/2023,April,North,Punjab,Lifestyle,10
4/22/2023,April,North,Punjab,Lifestyle,60
4/9/2023,April,North,Punjab,Lifestyle,10
4/5/2023,April,North,Punjab,Adventure,50
4/18/2023,April,North,Punjab,Adventure,20
4/21/2023,April,North,Punjab,Adventure,20
4/12/2023,April,North,Punjab,Adventure,20
4/10/2023,April,North,Punjab,Adventure,40
4/9/2023,April,North,Punjab,Adventure,10
4/4/2023,April,North,Punjab,Adventure,10
4/15/2023,April,North,Haryana,Professional,40
4/16/2023,April,North,Haryana,Professional,10
4/6/2023,April,North,Haryana,Professional,20
4/21/2023,April,North,Haryana,Professional,20
4/17/2023,April,North,Haryana,Lifestyle,40
4/3/2023,April,North,Haryana,Lifestyle,50
4/12/2023,April,North,Haryana,Lifestyle,10
4/11/2023,April,North,Haryana,Lifestyle,40
4/8/2023,April,North,Haryana,Lifestyle,40
4/15/2023,April,North,Haryana,Adventure,10
4/26/2023,April,South,Karnataka,Professional,10
4/26/2023,April,South,Karnataka,Professional,10
4/30/2023,April,South,Karnataka,Professional,40
4/26/2023,April,South,Karnataka,Professional,60
4/13/2023,April,South,Karnataka,Lifestyle,40
4/17/2023,April,South,Karnataka,Lifestyle,10
4/20/2023,April,South,Karnataka,Lifestyle,40
4/20/2023,April,South,Karnataka,Lifestyle,10
4/8/2023,April,South,Karnataka,Lifestyle,40
4/29/2023,April,South,Karnataka,Adventure,10
4/5/2023,April,South,Tamil Nadu,Professional,60
4/5/2023,April,South,Tamil Nadu,Professional,50
4/25/2023,April,South,Tamil Nadu,Professional,30
4/6/2023,April,South,Tamil Nadu,Professional,60
4/22/2023,April,South,Tamil Nadu,Lifestyle,50
4/14/2023,April,South,Tamil Nadu,Lifestyle,20
4/19/2023,April,South,Tamil Nadu,Adventure,50
4/16/2023,April,South,Tamil Nadu,Adventure,30
4/20/2023,April,South,Tamil Nadu,Adventure,20
4/5/2023,April,South,Kerala,Professional,60
4/15/2023,April,South,Kerala,Professional,60
4/27/2023,April,South,Kerala,Professional,10
4/26/2023,April,South,Kerala,Professional,10
4/19/2023,April,South,Kerala,Professional,60
4/19/2023,April,South,Kerala,Professional,50
4/11/2023,April,South,Kerala,Lifestyle,20
4/19/2023,April,South,Kerala,Lifestyle,30
4/19/2023,April,South,Kerala,Adventure,60
4/24/2023,April,South,Kerala,Adventure,30
4/28/2023,April,South,Kerala,Adventure,10
4/28/2023,April,West,Maharashtra,Professional,10
4/15/2023,April,West,Maharashtra,Professional,50
4/5/2023,April,West,Maharashtra,Professional,10
4/19/2023,April,West,Maharashtra,Lifestyle,50
4/3/2023,April,West,Maharashtra,Lifestyle,10
4/23/2023,April,West,Maharashtra,Lifestyle,60
4/7/2023,April,West,Maharashtra,Lifestyle,40
4/29/2023,April,West,Maharashtra,Lifestyle,40
4/28/2023,April,West,Maharashtra,Adventure,50
4/30/2023,April,West,Maharashtra,Adventure,10
4/21/2023,April,West,Maharashtra,Adventure,60
4/27/2023,April,West,Maharashtra,Adventure,20
4/28/2023,April,West,Maharashtra,Adventure,10
4/5/2023,April,West,Maharashtra,Adventure,30
4/10/2023,April,West,Gujarat,Professional,40
4/11/2023,April,West,Gujarat,Professional,10
4/10/2023,April,West,Gujarat,Professional,30
4/6/2023,April,West,Gujarat,Lifestyle,10
4/28/2023,April,West,Gujarat,Lifestyle,10
4/14/2023,April,West,Gujarat,Adventure,60
4/20/2023,April,West,Gujarat,Adventure,60
4/17/2023,April,West,Rajasthan,Professional,30
4/28/2023,April,West,Rajasthan,Professional,10
4/26/2023,April,West,Rajasthan,Professional,10
4/3/2023,April,West,Rajasthan,Lifestyle,30
4/24/2023,April,West,Rajasthan,Lifestyle,20
4/25/2023,April,West,Rajasthan,Adventure,20
4/11/2023,April,West,Rajasthan,Adventure,40
4/11/2023,April,West,Rajasthan,Adventure,40
4/22/2023,April,West,Rajasthan,Adventure,60
4/19/2023,April,West,Rajasthan,Adventure,30
5/26/2023,May,North,Delhi,Professional,50
5/13/2023,May,North,Delhi,Professional,60
5/5/2023,May,North,Delhi,Professional,10
5/17/2023,May,North,Delhi,Lifestyle,10
5/11/2023,May,North,Delhi,Lifestyle,40
5/20/2023,May,North,Delhi,Lifestyle,60
5/1/2023,May,North,Delhi,Lifestyle,40
5/14/2023,May,North,Delhi,Lifestyle,40
5/27/2023,May,North,Delhi,Lifestyle,10
5/4/2023,May,North,Delhi,Adventure,50
5/23/2023,May,North,Punjab,Professional,20
5/21/2023,May,North,Punjab,Professional,30
5/16/2023,May,North,Punjab,Professional,30
5/9/2023,May,North,Punjab,Professional,60
5/18/2023,May,North,Punjab,Professional,50
5/26/2023,May,North,Punjab,Professional,30
5/21/2023,May,North,Punjab,Lifestyle,20
5/23/2023,May,North,Punjab,Lifestyle,10
5/23/2023,May,North,Punjab,Adventure,50
5/16/2023,May,North,Punjab,Adventure,50
5/3/2023,May,North,Haryana,Professional,20
5/17/2023,May,North,Haryana,Professional,10
5/13/2023,May,North,Haryana,Professional,60
5/16/2023,May,North,Haryana,Professional,30
5/16/2023,May,North,Haryana,Lifestyle,20
5/21/2023,May,North,Haryana,Lifestyle,20
5/8/2023,May,North,Haryana,Lifestyle,10
5/29/2023,May,North,Haryana,Lifestyle,10
5/29/2023,May,North,Haryana,Lifestyle,20
5/8/2023,May,North,Haryana,Adventure,20
5/23/2023,May,South,Karnataka,Professional,10
5/24/2023,May,South,Karnataka,Professional,40
5/5/2023,May,South,Karnataka,Professional,50
5/13/2023,May,South,Karnataka,Lifestyle,60
5/4/2023,May,South,Karnataka,Lifestyle,20
5/15/2023,May,South,Karnataka,Lifestyle,50
5/10/2023,May,South,Karnataka,Lifestyle,10
5/7/2023,May,South,Karnataka,Lifestyle,60
5/15/2023,May,South,Karnataka,Lifestyle,30
5/9/2023,May,South,Karnataka,Adventure,40
5/21/2023,May,South,Karnataka,Adventure,60
5/17/2023,May,South,Karnataka,Adventure,50
5/7/2023,May,South,Tamil Nadu,Professional,40
5/25/2023,May,South,Tamil Nadu,Professional,60
5/12/2023,May,South,Tamil Nadu,Lifestyle,20
5/5/2023,May,South,Tamil Nadu,Adventure,20
5/3/2023,May,South,Tamil Nadu,Adventure,40
5/22/2023,May,South,Tamil Nadu,Adventure,10
5/16/2023,May,South,Tamil Nadu,Adventure,50
5/17/2023,May,South,Tamil Nadu,Adventure,20
5/9/2023,May,South,Tamil Nadu,Adventure,40
5/9/2023,May,South,Kerala,Professional,40
5/27/2023,May,South,Kerala,Professional,60
5/30/2023,May,South,Kerala,Lifestyle,40
5/5/2023,May,South,Kerala,Lifestyle,20
5/9/2023,May,South,Kerala,Lifestyle,60
5/24/2023,May,South,Kerala,Lifestyle,10
5/12/2023,May,South,Kerala,Lifestyle,30
5/20/2023,May,South,Kerala,Adventure,20
5/12/2023,May,South,Kerala,Adventure,60
5/27/2023,May,South,Kerala,Adventure,20
5/26/2023,May,South,Kerala,Adventure,20
5/25/2023,May,West,Maharashtra,Professional,20
5/10/2023,May,West,Maharashtra,Lifestyle,10
5/29/2023,May,West,Maharashtra,Lifestyle,40
5/27/2023,May,West,Maharashtra,Lifestyle,10
5/13/2023,May,West,Maharashtra,Adventure,50
5/22/2023,May,West,Maharashtra,Adventure,40
5/12/2023,May,West,Maharashtra,Adventure,60
5/2/2023,May,West,Maharashtra,Adventure,50
5/28/2023,May,West,Maharashtra,Adventure,10
5/16/2023,May,West,Maharashtra,Adventure,40
5/2/2023,May,West,Gujarat,Professional,20
5/7/2023,May,West,Gujarat,Professional,20
5/23/2023,May,West,Gujarat,Professional,20
5/30/2023,May,West,Gujarat,Professional,50
5/23/2023,May,West,Gujarat,Professional,10
5/25/2023,May,West,Gujarat,Lifestyle,20
5/20/2023,May,West,Gujarat,Lifestyle,60
5/14/2023,May,West,Gujarat,Lifestyle,60
5/29/2023,May,West,Gujarat,Lifestyle,50
5/27/2023,May,West,Gujarat,Lifestyle,10
5/10/2023,May,West,Gujarat,Adventure,60
5/27/2023,May,West,Gujarat,Adventure,60
5/3/2023,May,West,Gujarat,Adventure,40
5/11/2023,May,West,Gujarat,Adventure,20
5/30/2023,May,West,Rajasthan,Professional,30
5/5/2023,May,West,Rajasthan,Lifestyle,40
5/28/2023,May,West,Rajasthan,Lifestyle,60
5/6/2023,May,West,Rajasthan,Lifestyle,50
5/25/2023,May,West,Rajasthan,Adventure,10
5/19/2023,May,West,Rajasthan,Adventure,20
6/6/2023,June,North,Delhi,Professional,20
6/3/2023,June,North,Delhi,Lifestyle,20
6/11/2023,June,North,Delhi,Lifestyle,30
6/8/2023,June,North,Delhi,Lifestyle,20
6/29/2023,June,North,Delhi,Lifestyle,50
6/25/2023,June,North,Delhi,Lifestyle,10
6/27/2023,June,North,Delhi,Adventure,10
6/6/2023,June,North,Delhi,Adventure,10
6/17/2023,June,North,Delhi,Adventure,30
6/3/2023,June,North,Delhi,Adventure,10
6/5/2023,June,North,Delhi,Adventure,60
6/3/2023,June,North,Delhi,Adventure,10
6/16/2023,June,North,Punjab,Professional,60
6/14/2023,June,North,Punjab,Professional,40
6/13/2023,June,North,Punjab,Professional,60
6/29/2023,June,North,Punjab,Professional,10
6/14/2023,June,North,Punjab,Professional,10
6/19/2023,June,North,Punjab,Lifestyle,10
6/27/2023,June,North,Punjab,Lifestyle,50
6/5/2023,June,North,Punjab,Lifestyle,40
6/18/2023,June,North,Punjab,Lifestyle,50
6/29/2023,June,North,Punjab,Lifestyle,50
6/24/2023,June,North,Punjab,Lifestyle,60
6/8/2023,June,North,Punjab,Lifestyle,50
6/17/2023,June,North,Punjab,Adventure,50
6/17/2023,June,North,Punjab,Adventure,60
6/16/2023,June,North,Punjab,Adventure,40
6/10/2023,June,North,Punjab,Adventure,10
6/30/2023,June,North,Punjab,Adventure,30
6/5/2023,June,North,Haryana,Professional,20
6/3/2023,June,North,Haryana,Professional,30
6/18/2023,June,North,Haryana,Professional,30
6/28/2023,June,North,Haryana,Lifestyle,40
6/18/2023,June,North,Haryana,Adventure,30
6/2/2023,June,North,Haryana,Adventure,20
6/23/2023,June,North,Haryana,Adventure,40
6/26/2023,June,North,Haryana,Adventure,50
6/2/2023,June,North,Haryana,Adventure,20
6/14/2023,June,North,Haryana,Adventure,10
6/1/2023,June,South,Karnataka,Professional,30
6/17/2023,June,South,Karnataka,Professional,60
6/14/2023,June,South,Karnataka,Professional,30
6/2/2023,June,South,Karnataka,Professional,50
6/3/2023,June,South,Karnataka,Lifestyle,50
6/12/2023,June,South,Karnataka,Lifestyle,20
6/16/2023,June,South,Karnataka,Lifestyle,20
6/30/2023,June,South,Karnataka,Lifestyle,60
6/2/2023,June,South,Karnataka,Lifestyle,10
6/25/2023,June,South,Karnataka,Lifestyle,50
6/7/2023,June,South,Karnataka,Lifestyle,50
6/17/2023,June,South,Karnataka,Adventure,50
6/9/2023,June,South,Karnataka,Adventure,20
6/29/2023,June,South,Karnataka,Adventure,30
6/15/2023,June,South,Karnataka,Adventure,10
6/29/2023,June,South,Karnataka,Adventure,40
6/6/2023,June,South,Tamil Nadu,Professional,50
6/14/2023,June,South,Tamil Nadu,Professional,30
6/27/2023,June,South,Tamil Nadu,Professional,30
6/19/2023,June,South,Tamil Nadu,Professional,20
6/24/2023,June,South,Tamil Nadu,Professional,40
6/4/2023,June,South,Tamil Nadu,Lifestyle,40
6/1/2023,June,South,Tamil Nadu,Lifestyle,50
6/22/2023,June,South,Tamil Nadu,Adventure,30
6/26/2023,June,South,Kerala,Professional,60
6/19/2023,June,South,Kerala,Professional,50
6/17/2023,June,South,Kerala,Professional,50
6/27/2023,June,South,Kerala,Professional,20
6/11/2023,June,South,Kerala,Professional,40
6/9/2023,June,South,Kerala,Professional,50
6/13/2023,June,South,Kerala,Lifestyle,20
6/7/2023,June,South,Kerala,Lifestyle,40
6/19/2023,June,South,Kerala,Adventure,20
6/2/2023,June,South,Kerala,Adventure,10
6/21/2023,June,South,Kerala,Adventure,20
6/5/2023,June,South,Kerala,Adventure,40
6/25/2023,June,South,Kerala,Adventure,30
6/27/2023,June,West,Maharashtra,Professional,40
6/20/2023,June,West,Maharashtra,Lifestyle,20
6/21/2023,June,West,Maharashtra,Lifestyle,50
6/10/2023,June,West,Maharashtra,Adventure,60
6/4/2023,June,West,Gujarat,Professional,50
6/26/2023,June,West,Gujarat,Professional,10
6/9/2023,June,West,Gujarat,Lifestyle,10
6/18/2023,June,West,Gujarat,Lifestyle,50
6/24/2023,June,West,Gujarat,Lifestyle,60
6/17/2023,June,West,Gujarat,Lifestyle,30
6/4/2023,June,West,Gujarat,Lifestyle,30
6/3/2023,June,West,Gujarat,Adventure,60
6/20/2023,June,West,Gujarat,Adventure,10
6/9/2023,June,West,Gujarat,Adventure,40
6/10/2023,June,West,Gujarat,Adventure,20
6/1/2023,June,West,Gujarat,Adventure,50
6/14/2023,June,West,Gujarat,Adventure,50
6/16/2023,June,West,Gujarat,Adventure,10
